Food,Food_long,Food_group,DQQ_food_group,DQQ_question,USDA_FDC_ID,Country,Energy_kcal,Carbohydrates_g,Fiber_g,Protein_g,Monounsaturated_FAs_g,Polyunsaturated_FAs_g,Unsaturated_FAs_g,Saturated_FAs_g,VitA_RAE_mcg,VitC_mg,VitD_mcg,VitE_mg,Thiamin_mg,Riboflavin_mg,Niacin_mg,VitB6_mg,Folate_DFE_mcg,VitB12_mcg,Choline_mg,Iron_mg,Zinc_mg,Calcium_mg,Potassium_mg,Magnesium_mg,Sodium_mg,Phytate_mg,DHA_g,EPA_g,DPA_g,ALA_g,DIAAS,Iron_Abs,Zinc_Abs,Liquids,Unsweetened_dairy,Dried_consumed_rehydrated,Energy_kcal_fresh,UPF,Fortified_4Vitamins,Fortified_2Minerals,Comments
Calabash,"Gourd, white-flowered (calabash or bottle gourd), cooked, boiled, drained, without salt",Vegetables,Other vegetables,Q7.2,169233,Bangladesh,15,3.69,1.2,0.6,0,0.01,0.01,0,4,8.5,0,0.11,0.03,0.02,0.39,0.04,4,0,7.85,0.25,0.7,24,170,11,2,11.83,0,0,0,0.07,0.8,0.1,0.44,No,No,No,,No,No,No,Used phytate for raw bottled gourd as phytate value for cooked was missing
Camel meat,"Camel meat, average of various cooking methods (boiled, grilled, stewed and fried)",Animal-source foods,Unprocessed red meat (non-ruminant),Q18,N/A,Kenya,280,5,0,30.83,2.95,0.8,3.76,4.48,1,1.08,0.47,0.26,0.05,0.19,4.73,0.46,11.5,1.9,239.02,5.23,4.87,12,315,23,149.5,0,0,0,0,0.11,1.42,0.15,0.44,No,No,No,,No,No,No,
Canned mackerel,"Fish, mackerel, jack, canned, drained solids",Animal-source foods,Fish and seafood,Q20,175121,Nigeria,156,0,0,23.19,2.23,1.65,3.88,1.86,130,0.9,7.3,1.03,0.04,0.21,6.18,0.21,5,6.94,85,2.04,1.02,241,194,37,379,0,0.8,0.43,0.1,0,1,0.15,0.44,No,No,No,,No,No,No,Used ALA value for sardines
Canned sardines,"Fish, sardine, Atlantic, canned in oil, drained solids with bone",Animal-source foods,Fish and seafood,Q20,175139,Nigeria,208,0,0,24.62,3.87,5.15,9.02,1.53,32,0,4.8,2.04,0.08,0.23,5.25,0.17,10,8.94,75,2.92,1.31,382,397,39,307,0,0.51,0.47,0,0,1,0.15,0.44,No,No,No,,No,No,No,Used ALA value for sardines
Canned sardines,"Fish, sardine, Atlantic, canned in oil, drained solids with bone",Animal-source foods,Fish and seafood,Q20,175139,Kenya,208,0,0,24.62,3.87,5.15,9.02,1.53,32,0,4.8,2.04,0.08,0.23,5.25,0.17,10,8.94,75,2.92,1.31,382,397,39,307,0,0.51,0.47,0,0.5,1,0.15,0.44,No,No,No,,No,No,No,
Canned tuna,"Fish, tuna, light, canned in oil, drained solids",Animal-source foods,Fish and seafood,Q20,173708,Nigeria,198,0,0,29.13,2.95,2.89,5.83,1.53,23,0,6.7,0.87,0.04,0.12,12.4,0.11,5,2.2,29.3,1.39,0.9,13,207,31,416,0,0.1,0.03,0,0,1,0.15,0.44,No,No,No,,No,No,No,Used ALA value for sardines
Canned tuna,"Canned tuna, average of canned in oil and water, and of canned with or without salt",Animal-source foods,Fish and seafood,Q20,N/A,Kenya,149,0,0,25.16,1.49,1.78,3.28,0.95,5.67,0,2,1.58,0.02,0.06,9.65,0.33,3.6,1.95,29.3,0.95,0.53,9.4,275.4,32.2,184.6,0,0.41,0.14,0.01,0.25,1,0.15,0.44,No,No,No,,No,No,No,
Cantaloupe,"Melons, cantaloupe, raw",Fruits,Vitamin A-rich fruits,Q8,169092,Indonesia,34,8.16,0.9,0.84,0,0.08,0.08,0.05,169,36.7,0,0.05,0.04,0.02,0.73,0.07,21,0,7.6,0.21,0.18,9,267,12,16,20,0,0,0,0.11,0.7,0.1,0.44,No,No,No,,No,No,No,
Cantaloupe,"Melons, cantaloupe, raw",Fruits,Vitamin A-rich fruits,Q8,169092,Bangladesh,34,8.16,0.9,0.84,0,0.08,0.08,0.05,169,36.7,0,0.05,0.04,0.02,0.73,0.07,21,0,7.6,0.21,0.18,9,267,12,16,20,0,0,0,0.11,0.7,0.1,0.44,No,No,No,,No,No,No,
Carrots,"Carrots, average of raw and cooked (boiled)",Vegetables,Vitamin A-rich orange vegetables,Q5,N/A,Indonesia,38,8.9,2.9,0.85,0.01,0.1,0.1,0.03,843.5,4.75,0,0.85,0.07,0.05,0.81,0.15,16.5,0,8.8,0.32,0.22,31.5,277.5,11,63.5,88.2,0,0,0,0,0.8,0.1,0.35,No,No,No,,No,No,No,
Carrots,"Carrots, average of raw and cooked (boiled)",Vegetables,Vitamin A-rich orange vegetables,Q5,N/A,Bangladesh,38,8.9,2.9,0.85,0.01,0.1,0.1,0.03,843.5,4.75,0,0.85,0.07,0.05,0.81,0.15,16.5,0,8.8,0.32,0.22,31.5,277.5,11,63.5,88.2,0,0,0,0,0.8,0.1,0.35,No,No,No,,No,No,No,
Carrots,"Carrots, average of raw and cooked (boiled)",Vegetables,Vitamin A-rich orange vegetables,Q5,N/A,Nigeria,38,8.9,2.9,0.85,0.01,0.1,0.1,0.03,843.5,4.75,0,0.85,0.07,0.05,0.81,0.15,16.5,0,8.8,0.32,0.22,31.5,277.5,11,63.5,88.2,0,0,0,0,0.8,0.1,0.35,No,No,No,,No,No,No,
Carrots,"Carrots, average of raw and cooked (boiled)",Vegetables,Vitamin A-rich orange vegetables,Q5,N/A,Kenya,38,8.9,2.9,0.85,0.01,0.1,0.1,0.03,843.5,4.75,0,0.85,0.07,0.05,0.81,0.15,16.5,0,8.8,0.32,0.22,31.5,277.5,11,63.5,88.2,0,0,0,0.01,0.8,0.1,0.35,No,No,No,,No,No,No,
Cashews,"Cashew nuts, average of raw, dry-roasted and oil-roasted","Pulses, nuts, and seeds",Nuts and seeds,Q21,N/A,Indonesia,569,30.92,3.2,16.79,25.68,8.08,33.75,8.47,0,0.27,0,0.91,0.33,0.16,1.4,0.33,39.67,0,61,6.24,5.58,41.67,619,275,13.67,1079,0,0,0,0.04,0.42,0.1,0.26,No,No,No,,No,No,No,
Cashews,"Cashew nuts, average of raw, dry-roasted and oil-roasted","Pulses, nuts, and seeds",Nuts and seeds,Q21,N/A,Nigeria,569,30.92,3.2,16.79,25.68,8.08,33.75,8.47,0,0.27,0,0.91,0.33,0.16,1.4,0.33,39.67,0,61,6.24,5.58,41.67,619,275,13.67,1079,0,0,0,0.04,0.42,0.1,0.26,No,No,No,,No,No,No,
Cashews,"Cashew nuts, average of raw, dry-roasted and oil-roasted","Pulses, nuts, and seeds",Nuts and seeds,Q21,N/A,Kenya,569,30.92,3.2,16.79,25.68,8.08,33.76,8.47,0,0.27,0,0.91,0.33,0.16,1.4,0.33,39.67,0,61,6.24,5.58,41.67,619,275,13.67,1079,0,0,0,0.04,0.42,0.1,0.26,No,No,No,,No,No,No,
Cassava,"Cassava, cooked",Starchy staples,"White roots, tubers, and plantains",Q3,2345064,Indonesia,191,39.62,1.9,1.42,1.02,0.86,1.88,0.8,13,18.2,0,0.56,0.08,0.05,0.85,0.1,24,0,24.9,0.28,0.36,17,282,22,145,60,0,0,0,0.04,0.18,0.1,0.35,No,No,No,,No,No,No,
Cassava,"Cassava, cooked",Starchy staples,"White roots, tubers, and plantains",Q3,2345064,Nigeria,191,39.62,1.9,1.42,1.02,0.86,1.88,0.8,13,18.2,0,0.56,0.08,0.05,0.85,0.1,24,0,24.9,0.28,0.36,17,282,22,145,60,0,0,0,0.04,0.18,0.1,0.35,No,No,No,,No,No,No,
Cassava,"Cassava, cooked",Starchy staples,"White roots, tubers, and plantains",Q3,2345064,Kenya,191,39.62,1.9,1.42,1.02,0.86,1.88,0.8,13,18.2,0,0.56,0.08,0.05,0.85,0.1,24,0,24.9,0.28,0.36,17,282,22,145,60,0,0,0,0.02,0.15,0.1,0.35,No,No,No,,No,No,No,
Cassava leaves,"Cassava leaves, stir-fried",Vegetables,Dark green leafy vegetables,Q6.2,IDD076 (from ID FCT),Indonesia,68,7.1,2.4,6.2,0.13,0.06,0.19,0.1,456,103,0,0.67,0.04,0.1,1.8,0.34,12,0,21,1.3,2.6,166,298.13,35.1,7.5,28.54,0,0,0,0.07,0.8,0.1,0.44,No,No,No,,No,No,No,Used phytate value for boiled cassava leaves as value for styr-fried was missing
Catfish,"Catfish, fresh, average of various cooking methods ",Animal-source foods,Fish and seafood,Q20,N/A,Nigeria,191,2.93,0.13,17.74,4.7,2.98,7.69,2.36,8.25,0,0.28,1.62,0.06,0.11,2.64,0.17,19.5,2.95,75.53,0.49,0.58,13.25,348.75,22.75,327.25,0,0.06,0.02,0.02,0.04,1,0.15,0.44,No,No,No,,No,No,No,
Cauliflower,"Cauliflower, average of boiled and fried",Vegetables,Other vegetables,Q7.2,N/A,Indonesia,121,13.01,1.95,2.93,2.51,2.63,5.14,0.96,3,30.2,0.05,1.04,0.15,0.1,1.17,0.13,64,0.02,34.1,1,0.27,24.5,150.5,11.5,170.5,18.48,0,0,0,0,0.8,0.1,0.44,No,No,No,,No,No,No,
Cauliflower,"Cauliflower, average of boiled and fried",Vegetables,Other vegetables,Q7.1,N/A,Bangladesh,121,13.01,1.95,2.93,2.51,2.63,5.14,0.96,3,30.2,0.05,1.04,0.15,0.1,1.17,0.13,64,0.02,34.1,1,0.27,24.5,150.5,11.5,170.5,18.48,0,0,0,0.07,0.8,0.1,0.44,No,No,No,,No,No,No,
Cauliflower,"Cauliflower, average of boiled and fried",Vegetables,Other vegetables,Q7.1,N/A,Kenya,121,13.01,1.95,2.93,2.51,2.63,5.14,0.96,3,30.2,0.05,1.04,0.15,0.1,1.17,0.13,64,0.02,34.1,1,0.27,24.5,150.5,11.5,170.5,18.48,0,0,0,0.12,0.8,0.1,0.44,No,No,No,,No,No,No,
Chapati (fortified),"Bread, chappatti or roti",Starchy staples,Whole grains,Q2,2343193,Bangladesh,299,46.13,9.7,7.85,2.09,0.76,2.85,3.31,0,0,0,0.55,0.36,0.18,4.61,0.28,38,0,7.8,2.2,1.54,36,196,56,298,249.46,0,0,0,0.01,0.29,0.1,0.26,No,No,No,,No,Yes,No,"Used phytate value for flat bread, white wheat-flour"
Chapati (fortified),"Bread, chappatti or roti",Starchy staples,Refined grains,Q1,2343193,Kenya,299,46.13,9.7,7.85,2.09,0.76,2.85,3.31,0,0,0,0.55,0.36,0.18,4.61,0.28,38,0,7.8,2.2,1.54,36,196,56,298,249.46,0,0,0,0.03,0.29,0.1,0.26,No,No,No,,No,Yes,No,"Used phytate value for flat bread, white wheat-flour"
Chayote,"Chayote, average of raw and cooked (boiled)",Vegetables,Other vegetables,Q7.2,N/A,Indonesia,22,4.8,2.25,0.72,0.01,0.03,0.03,0.01,0,7.85,0,0.13,0.03,0.03,0.45,0.1,55.5,0,9.85,0.28,0.53,15,149,12,1.5,19.42,0,0,0,0,0.8,0.1,0.44,No,No,No,,No,No,No,
Chicken,"Chicken, average of various cuts, with and without skin, and of different cooking methods",Animal-source foods,Poultry,Q19,N/A,Indonesia,208,0.25,0,26,4.22,2.4,6.63,2.96,26.83,0,0.1,0.28,0.07,0.2,6.71,0.4,5,0.32,63.43,1.41,2.33,17.29,274,22,85.29,0,0.04,0.01,0.02,0.08,1.08,0.15,0.44,No,No,No,,No,No,No,
Chicken,"Chicken, average of various cuts, with and without skin, and of different cooking methods",Animal-source foods,Poultry,Q19,N/A,Bangladesh,208,0.25,0,26,4.22,2.4,6.63,2.96,26.83,0,0.1,0.28,0.07,0.2,6.71,0.4,5,0.32,63.43,1.41,2.33,17.29,274,22,85.29,0,0.04,0.01,0.02,0.08,1.08,0.15,0.44,No,No,No,,No,No,No,
Chicken,"Chicken, average of various cuts, with and without skin, and of different cooking methods",Animal-source foods,Poultry,Q19,N/A,Kenya,208,0.25,0,26,4.22,2.4,6.63,2.96,26.83,0,0.1,0.28,0.07,0.2,6.71,0.4,5,0.32,63.43,1.41,2.33,17.29,274,22,85.29,0,0.04,0.01,0.02,0.08,1.08,0.15,0.44,No,No,No,,No,No,No,
Chicken gizzard,"Chicken, gizzard, all classes, cooked, simmered",Animal-source foods,Organ meat,Q19,171457,Nigeria,154,0,0,30.39,0.53,0.35,0.88,0.67,0,0,0,0.2,0.03,0.21,3.12,0.07,5,1.04,104.4,3.19,4.42,17,179,3,56,0,0,0,0,0,1.08,0.15,0.44,No,No,No,,No,No,No,No other cooking methods available; used eaa values for whole chicken (incl giblets & neck)
Chicken liver,"Chicken liver, average of various cooking methods",Animal-source foods,Organ meat,Q19,N/A,Bangladesh,170,0.99,0,25.12,1.4,1.63,3.03,2.05,4138.5,15.3,0,0.8,0.29,2.15,12.49,0.8,569,18.99,308.4,12.26,4,10.5,289,26,84,0,0,0,0,0.01,1.08,0.15,0.44,No,No,No,,No,No,No,
Chicken organs,"Chicken organs, average of heart and liver, cooked (pan-fried or simmered)",Animal-source foods,Organ meat,Q19,N/A,Indonesia,177,0.55,0,25.77,1.71,1.96,3.67,2.15,2073.25,8.55,0,0.8,0.18,1.45,7.64,0.56,324.5,13.14,308.4,10.64,5.65,14.75,210.5,23,66,0,0,0,0,0.01,1.08,0.15,0.44,No,No,No,,No,No,No,
Chicken wings,"Chicken, broilers or fryers, wing, meat and skin, average of various cooking methods",Animal-source foods,Poultry,Q19,N/A,Nigeria,275,0.8,0.03,24.23,7.73,4.04,11.77,5.25,30,0,0.15,0.48,0.05,0.13,5.88,0.4,6.67,0.27,81.3,1.07,1.68,15,176,18,80.67,0,0.04,0.01,0.02,0.16,1.08,0.15,0.44,No,No,No,,No,No,No,
Chickpeas,"Chickpeas (garbanzo beans, bengal gram), mature seeds, cooked, boiled, without salt","Pulses, nuts, and seeds",Legumes,Q4,173757,Bangladesh,164,27.42,7.6,8.86,0.58,1.16,1.74,0.27,1,1.3,0,0.35,0.12,0.06,0.53,0.14,172,0,42.8,2.89,1.53,49,291,48,7,76.93,0,0,0,0.1,0.76,0.1,0.35,No,No,No,,No,No,No,
Chinese broccoli,"Chinese broccoli, average of raw and cooked (boiled)",Vegetables,Dark green leafy vegetables,Q6.1,N/A,Indonesia,24,4.24,2.55,1.17,0.05,0.34,0.39,0.11,84,28.9,0,0.49,0.1,0.15,0.45,0.07,101.5,0,25.9,0.58,0.4,102.5,267.5,18.5,7,25.66,0,0,0,0.12,0.8,0.1,0.44,No,No,No,,No,No,No,
Chinese cabbage,"Cabbage, chinese (sawi/pak/bok-choi), average of raw and cooked (boiled)",Vegetables,Dark green leafy vegetables,Q6.1,N/A,Indonesia,13,1.98,1,1.53,0.01,0.09,0.1,0.02,217.5,35.5,0,0.09,0.04,0.07,0.46,0.18,53.5,0,9.25,0.92,0.18,99,311.5,15,49.5,10.93,0,0,0,0.12,0.8,0.1,0.44,No,No,No,,No,No,No,
Coconut,"Nuts, coconut meat, raw",Fruits,Other fruits,Q10.3,170169,Indonesia,354,15.23,9,3.33,1.43,0.37,1.79,29.7,0,3.3,0,0.24,0.07,0.02,0.54,0.05,26,0,12.1,2.43,1.1,14,356,32,20,136,0,0,0,0.11,0.7,0.1,0.3,No,No,No,,No,No,No,
Coconut,"Nuts, coconut meat, raw",Fruits,Other fruits,Q10.2,170169,Nigeria,354,15.23,9,3.33,1.43,0.37,1.79,29.7,0,3.3,0,0.24,0.07,0.02,0.54,0.05,26,0,12.1,2.43,1.1,14,356,32,20,136,0,0,0,0.11,0.7,0.1,0.3,No,No,No,,No,No,No,
Collard greens,"Collards, cooked, boiled, drained, without salt",Vegetables,Dark green leafy vegetables,Q6.1,170407,Kenya,33,5.65,4,2.71,0.03,0.17,0.2,0.05,380,18.2,0,0.88,0.04,0.11,0.58,0.13,16,0,38.4,1.13,0.23,141,117,21,15,3.91,0,0,0,0.11,0.8,0.1,0.44,No,No,No,,No,No,No,Phytate: Used Ethiopian kale as proxy
Congee (rice porridge),Congee (rice porridge),Starchy staples,Refined grains,Q1,2343902,Indonesia,33,7.16,0.1,0.68,0.02,0.02,0.04,0.02,0,0,0,0.01,0.04,0,0.38,0.02,25,0,0.5,0.3,0.13,6,9,4,253,20,0,0,0,0.02,0.56,0.1,0.44,No,No,No,,No,No,No,
Corn,"Corn, boiled, average of sweet white and yellow varieties",Starchy staples,Whole grains,Q2,N/A,Indonesia,97,21.35,2.55,3.38,0.37,0.6,0.98,0.2,6.5,5.85,0,0.09,0.09,0.06,1.67,0.13,21.5,0,29.1,0.5,0.58,2.5,235,28.5,2,196,0,0,0,0.02,0.42,0.1,0.26,No,No,No,,No,No,No,
Corn,"Corn, boiled, average of sweet white and yellow varieties",Starchy staples,Whole grains,Q2,N/A,Bangladesh,97,21.35,2.55,3.38,0.37,0.6,0.98,0.2,6.5,5.85,0,0.09,0.09,0.06,1.67,0.13,21.5,0,29.1,0.5,0.58,2.5,235,28.5,2,196,0,0,0,0.01,0.42,0.1,0.26,No,No,No,,No,No,No,
Corn flakes,"Cornflakes (breakfast cereal), unfortified",Starchy staples,Whole grains,Q2,01_182 (from WA FCT),Nigeria,383,80.6,4.6,6.3,0.72,1.4,2.12,0.37,0,0,0,0.1,0.05,0.02,2,0.03,6,0,20.8,1,0.7,3,140,34,270,46.2,0,0,0,0.04,0.42,0.1,0.44,No,No,No,,No,No,No,
Cowpea leaves,"Cowpea leaves, boiled, without salt",Vegetables,Dark green leafy vegetables,Q6.1,N/A,Kenya,31,1.5,3.65,5.4,0.09,0.24,0.33,0.14,121,10.8,0,1.3,0.15,0.12,1,0.29,31.5,0,16.3,2.1,0.44,133.5,158,24,12,40.1,0,0,0,0.11,0.8,0.1,0.44,No,No,No,,No,No,No,Phytate: Used average for DGLV available in East Africa
Cowpea pancakes (fried),Boussan touba: fried cowpea pancakes,"Pulses, nuts, and seeds",Legumes,Q4,03_154 (from WA FCT),Nigeria,253,27.7,5.8,12.06,2.56,4.39,6.95,1.37,0,0,0,1.7,0.09,0.05,2.6,0.11,140,0,32.2,6.5,2.07,67,632,126,699,496.1,0,0,0,0.21,0.78,0.1,0.26,No,No,No,,No,No,No,"Used phytate for boiled cowpeas as a proxy; used choline, DHA, EPA, DPA, and eaa values for blackeyes cowpeas"
Croaker,"Fish, croaker, Atlantic, cooked, breaded and fried",Animal-source foods,Fish and seafood,Q20,171957,Nigeria,221,7.54,0.4,18.2,5.32,2.92,8.24,3.48,23,0,1.69,1.05,0.09,0.13,4.3,0.26,45,2.1,62.9,0.86,0.52,32,340,42,348,0,0.09,0.11,0.08,0.01,1,0.15,0.44,No,No,No,,No,No,No,No other cooking methods available
Crustaceans,"Crustaceans, average of various species consumed in Indonesia, and of different cooking methods",Animal-source foods,Fish and seafood,Q20,N/A,Indonesia,131,3.04,0.08,20.05,1.19,1.38,2.56,0.67,44.33,2.1,0.08,2.24,0.06,0.09,2.94,0.18,30.83,3.56,96.85,1.07,3.07,67.17,181.83,39.5,508.83,0,0.11,0.17,0.01,0.01,1,0.15,0.44,No,No,No,,No,No,No,
Cucumber,"Cucumber, average of raw and cooked",Vegetables,Other vegetables,Q7.3,N/A,Indonesia,30,3.89,0.55,0.7,0.52,0.48,1,0.43,12,2.75,0,0.23,0.03,0.03,0.1,0.05,7,0,6.55,0.3,0.22,17.5,157.5,14,73.5,16.94,0,0,0,0.06,0.8,0.1,0.44,No,No,No,,No,No,No,
Cucumber,"Cucumber, average of with and without peel, raw",Vegetables,Other vegetables,Q7.1,N/A,Nigeria,13,2.9,0.6,0.7,0.01,0.03,0.03,0.06,4.5,3,0,0.03,0.03,0.03,0.07,0.05,10.5,0,5.85,0.25,0.19,15,141.5,12.5,2,16.94,0,0,0,0.12,0.8,0.1,0.44,No,No,No,,No,No,No,
Cucumber,"Cucumber, average of with and without peel, raw",Vegetables,Other vegetables,Q7.2,N/A,Kenya,13,2.9,0.6,0.7,0.01,0.03,0.03,0.06,4.5,3,0,0.03,0.03,0.03,0.07,0.05,10.5,0,5.85,0.25,0.19,15,141.5,12.5,2,16.94,0,0,0,0.12,0.8,0.1,0.44,No,No,No,,No,No,No,
Custard apple,"Custard-apple, (bullock's-heart), raw",Fruits,Other fruits,Q10.1, 171725,Bangladesh,101,25.2,2.4,1.7,0.06,0.12,0.17,0.23,2,19.2,0,0.24,0.08,0.1,0.5,0.22,19.5,0,6.08,0.71,0.13,30,382,18,4,15.22,0,0,0,0.06,0.7,0.1,0.44,No,No,No,,No,No,No,
Dal,Dal,"Pulses, nuts, and seeds",Legumes,Q4,2342902,Bangladesh,145,19.17,7.5,8.6,1.2,0.31,1.51,2.51,33,1.4,0,0.22,0.16,0.07,1.01,0.17,172,0,32,3.17,1.21,19,352,34,309,388.8,0,0,0,0.1,0.5,0.1,0.26,No,No,No,,No,No,No,"Used average phytate value for bengal, black, green, and red gram, and for lentils"
Dates,"Dates, dried, average of multiple varieties",Fruits,Other fruits,Q10.2,N/A,Nigeria,280,75,7.35,2.13,0.04,0.02,0.06,0.03,3.5,0.2,0,0.05,0.05,0.06,1.44,0.21,17,0,8.1,0.96,0.37,51.5,676,48.5,1.5,130,0,0,0,0.19,0.7,0.1,0.3,No,No,No,,No,No,No,For phytate: used average value for dark brown and pale brown (no variety names mentioned)
Deer,"Deer, average of various cuts and different cooking methods",Animal-source foods,Unprocessed red meat (ruminant),Q17,N/A,Indonesia,160,0,0,31.61,0.66,0.26,0.91,1.4,0,0,0,0.66,0.22,0.57,8.42,0.64,9.75,2.7,123.55,4.41,4.54,5.6,371.4,29,53,0,0,0,0,0.02,1.12,0.2,0.44,No,No,No,,No,No,No,
Died baobab leaves,"Baobab, leaves, dried",Vegetables,Dark green leafy vegetables,Q6.1,04_002 (from WA FCT),Nigeria,241,19.8,42.9,13.7,0.16,1.06,1.22,0.64,143,19,0,1.7,0.1,0.15,6.1,1.5,300,0,222.46,13.7,3.56,1244,1490,206,166,260,0,0,0,0.71,0.8,0.1,0.26,No,No,Yes,63,No,No,No,
Dove,"Dove, cooked (includes pigeon)",Animal-source foods,Poultry,Q19,169905,Indonesia,213,0,0,23.9,5.46,2.73,8.2,3.74,28,2.9,0.2,0.06,0.28,0.35,7.6,0.57,6,0.41,63.6,5.91,3.83,17,256,26,57,0,0.02,0.01,0.04,0.03,1.08,0.15,0.44,No,No,No,,No,No,No,No other cooking methods available
Dove,"Dove, cooked (includes pigeon)",Animal-source foods,Poultry,Q19,169905,Bangladesh,213,0,0,23.9,5.46,2.73,8.2,3.74,28,2.9,0.2,0.06,0.28,0.35,7.6,0.57,6,0.41,63.6,5.91,3.83,17,256,26,57,0,0.02,0.01,0.04,0.03,1.08,0.15,0.44,No,No,No,,No,No,No,No other cooking methods available
Dragon fruit,Dragon fruit,Fruits,Other fruits,Q10.1,2344729,Indonesia,57,15.23,3.1,0.36,0.08,0.09,0.18,0.02,1,4.3,0,0.12,0.01,0.03,0.16,0.03,7,0,5.1,0.18,0.1,9,116,7,1,20.55,0,0,0,0.05,0.7,0.1,0.44,No,No,No,,No,No,No,
Dried & salted stockfish,"Fish, cod, Atlantic, dried and salted",Animal-source foods,Fish and seafood,Q20,174190,Nigeria,290,0,0,62.82,0.34,0.8,1.15,0.46,42,3.5,4,2.84,0.27,0.24,7.5,0.86,25,10,291.3,2.5,1.59,160,1458,133,7027,0,0.42,0.01,0.04,0.08,1,0.15,0.44,No,No,Yes,82,No,No,No,
Dried crayfish,"Shrimp (crayfish), whole, dried",Animal-source foods,Fish and seafood,Q20,09_057 (from WA FCT),Nigeria,322,7.9,0,63.1,0.92,1.05,1.97,1.83,9,37,0,1.1,0.03,0.22,8.4,0.7,140,5.9,202.2,25.3,6.83,2522,1107,670,1298,0,0.63,0.73,0.13,0,1,0.15,0.44,No,No,Yes,77,No,No,No,"Used choline, DHA, EPA, DPA values for dried shrimp"
Dried fish,"Dried fish, average of various species consumed in Bangladesh",Animal-source foods,Fish and seafood,Q20,N/A,Bangladesh,353,0,0,65.3,9.23,3.91,13.14,4.29,15,0,4.7,0.58,0.16,0.68,2,0.43,22,5.97,116.1,9.23,0.57,2069.67,1039.33,159.5,300.1,0,0.42,0.54,0.17,1.04,1,0.15,0.44,No,No,No,,No,No,No,"For unsaturated and saturated fats, vitamin B12, choline, sodium, essential fatty acids and essential amino acids, used average values for fish after adjusting for the difference in energy density"
Dried small fish,"Dried fish, freshwater, average of various species consumed in East Africa",Animal-source foods,Fish and seafood,Q20,N/A,Kenya,262,0.22,0,50.52,2.27,1.34,3.61,1.71,24.8,0,2,1.19,0.09,0.36,10.66,1.18,15.6,17.11,75,13.26,8.74,1379.2,788.2,112.2,207.2,0,0.45,0.17,0.06,0.09,1,0.15,0.44,No,No,No,,No,No,No,
Dried okra,"Okra, fruit, dried",Vegetables,Other vegetables,Q7.1,04_077 (from WA FCT),Nigeria,245,21.8,45.3,12.8,0.06,0.82,0.88,0.52,25,16,0,4.1,0.32,0.57,9.7,2.1,570,0,10.73,6.4,4.64,781,2530,548,77,117.99,0,0,0,0.24,0.8,0.1,0.3,No,No,No,,No,No,No,
Dried shrimp,"Shrimp, dried",Animal-source foods,Fish and seafood,Q20,2341781,Nigeria,250,0,0,51.05,0.27,1.71,1.98,0.47,0,10.2,0,2.75,0.02,0.04,1.4,0.03,22,1.85,202.2,5.32,4.9,362,200,82,2175,0,0.63,0.73,0.13,0,1,0.15,0.44,No,No,No,,No,No,No,Used ALA value for dried crayfish
Drumstick leaves,"Drumstick leaves, average of raw and cooked (boiled)",Vegetables,Dark green leafy vegetables,Q6.2,N/A,Indonesia,62,9.72,2,7.34,0.47,0.02,0.49,0.15,364.5,41.35,0,0.1,0.24,0.58,2.11,1.06,31.5,0,21,3.16,0.55,168,340.5,38,9,128,0,0,0,0.07,0.8,0.1,0.3,No,No,No,,No,No,No,
Duck,"Duck, average of with and without skin and of different cooking methods",Animal-source foods,Poultry,Q19,N/A,Indonesia,291,0,0,20.43,9.86,2.92,12.78,7.74,49.67,0,0.1,0.7,0.2,0.34,4.9,0.2,7.33,0.33,55.1,2.69,2.1,11.33,219.33,17.33,169,0,0,0,0,0,1.08,0.15,0.44,No,No,No,,No,No,No,
Duck,"Duck, average of with and without skin and of different cooking methods",Animal-source foods,Poultry,Q19,N/A,Bangladesh,291,0,0,20.43,9.86,2.92,12.78,7.74,49.67,0,0.1,0.7,0.2,0.34,4.9,0.2,7.33,0.33,55.1,2.69,2.1,11.33,219.33,17.33,169,0,0,0,0,0,1.08,0.15,0.44,No,No,No,,No,No,No,
Duck,"Duck, average of with and without skin and of different cooking methods",Animal-source foods,Poultry,Q19,N/A,Nigeria,291,0,0,20.43,9.86,2.92,12.78,7.74,49.67,0,0.1,0.7,0.2,0.34,4.9,0.2,7.33,0.33,55.1,2.69,2.1,11.33,219.33,17.33,169,0,0,0,0,0,1.08,0.15,0.44,No,No,No,,No,No,No,
Durian,"Durian, raw or frozen",Fruits,Other fruits,Q10.2,168192,Indonesia,147,27.1,3.8,1.47,0.05,0.07,0.12,0.03,2,19.7,0,0.15,0.37,0.2,1.07,0.32,36,0,4.25,0.43,0.28,6,436,30,2,2.67,0,0,0,0.2,0.7,0.1,0.44,No,No,No,,No,No,No,Phytate value for durian missing
Edamame,"Edamame, frozen, prepared","Pulses, nuts, and seeds",Legumes,Q4,168411,Indonesia,121,8.91,5.2,11.91,1.28,2.16,3.44,0.62,15,6.1,0,0.68,0.2,0.16,0.92,0.1,311,0,56.3,2.27,1.37,63,436,64,6,273,0,0,0,0.36,1.02,0.1,0.26,No,No,No,,No,No,No,Phytate value for cooked edamame missing; used phytate value for raw edamame as a proxy. Only frozen edamame were available in USDA FDC.
