Food,Food_long,Food_group,DQQ_food_group,DQQ_question,USDA_FDC_ID,Country,Energy_kcal,Carbohydrates_g,Fiber_g,Protein_g,Monounsaturated_FAs_g,Polyunsaturated_FAs_g,Unsaturated_FAs_g,Saturated_FAs_g,VitA_RAE_mcg,VitC_mg,VitD_mcg,VitE_mg,Thiamin_mg,Riboflavin_mg,Niacin_mg,VitB6_mg,Folate_DFE_mcg,VitB12_mcg,Choline_mg,Iron_mg,Zinc_mg,Calcium_mg,Potassium_mg,Magnesium_mg,Sodium_mg,Phytate_mg,DHA_g,EPA_g,DPA_g,ALA_g,DIAAS,Iron_Abs,Zinc_Abs,Liquids,Unsweetened_dairy,Dried_consumed_rehydrated,Energy_kcal_fresh,UPF,Fortified_4Vitamins,Fortified_2Minerals,Comments
Whole milk (from powder),"Milk (cow), dry, whole, without added vitamin D",Animal-source foods,Milk,Q25,173454,Indonesia,496,38.42,0,26.32,7.92,0.67,8.59,16.74,258,8.6,0.5,0.58,0.28,1.21,0.65,0.3,37,3.25,117.4,0.47,3.34,912,1330,85,371,0,0,0,0,0.65,1.16,0.15,0.44,Yes,Yes,Yes,61,No,No,No,
Whole milk (from powder),"Milk (cow), dry, whole, without added vitamin A and vitamin D",Animal-source foods,Milk,Q25,173454,Nigeria,496,38.42,0,26.32,7.92,0.67,8.59,16.74,258,8.6,0.5,0.58,0.28,1.21,0.65,0.3,37,3.25,117.4,0.47,3.34,912,1330,85,371,0,0,0,0,0.65,1.16,0.15,0.44,Yes,Yes,Yes,61,No,No,No,
Whole milk (from powder),"Milk (cow), dry, whole, without added vitamin D",Animal-source foods,Milk,Q25,173454,Kenya,496,38.42,0,26.32,7.92,0.67,8.59,16.74,258,8.6,0.5,0.58,0.28,1.21,0.65,0.3,37,3.25,117.4,0.47,3.34,912,1330,85,371,0,0,0,0,0.65,1.16,0.15,0.44,Yes,Yes,Yes,61,No,No,No,
Whole sheep milk,"Milk, sheep/goat, fluid, whole, unenriched",Animal-source foods,Milk,Q25,N/A,Indonesia,89,4.91,0,4.77,1.42,0.23,1.65,3.64,50.5,2.75,1.3,0.07,0.06,0.25,0.35,0.05,4,0.39,16,0.08,0.42,163.5,170.5,16,47,0,0,0,0,0.08,1.09,0.15,0.44,Yes,Yes,No,,No,No,No,
Whole sheep milk,"Milk, sheep/goat, fluid, whole, unenriched",Animal-source foods,Milk,Q25,N/A,Bangladesh,89,4.91,0,4.77,1.42,0.23,1.65,3.64,50.5,2.75,1.3,0.07,0.06,0.25,0.35,0.05,4,0.39,16,0.08,0.42,163.5,170.5,16,47,0,0,0,0,0.08,1.09,0.15,0.44,Yes,Yes,No,,No,No,No,
Whole sheep milk,"Milk, sheep/goat, fluid, whole, unenriched",Animal-source foods,Milk,Q25,N/A,Kenya,89,4.91,0,4.77,1.42,0.23,1.65,3.64,50.5,2.75,1.3,0.07,0.06,0.25,0.35,0.05,4,0.39,16,0.08,0.42,163.5,170.5,16,47,0,0,0,0,0.08,1.09,0.15,0.44,Yes,Yes,No,,No,No,No,
African mango seeds,"Dikanut, kernel, dried, raw","Pulses, nuts, and seeds",Nuts and seeds,Q21,06_008 (from WA FCT),Nigeria,650,5.5,17.3,7.6,20.5,15.05,35.54,8.34,0,5,0,1.8,0.16,0.08,2.9,0.34,62,0,56.15,3.4,3.21,105,16,287,2,1001.86,0,0,0,0.08,0.42,0.1,0.26,No,No,No,,No,No,No,
Agidi,"Maize, white, fermented gruel, cooked, moulded",Starchy staples,Whole grains,Q2,01_02_02 (from NG FCT),Nigeria,93,19.75,1.3,1.84,0.37,0.6,0.98,0.2,0.87,2,0,0.04,0.02,0.05,0.3,0.02,1.1,0,29.1,0.1,1.61,4.33,40,8.26,3,380,0,0,0,0.04,0.42,0.1,0.26,No,No,No,,No,No,No,"Used phytate value for yellow fermented maize paste as a proxy; used sat and unsat fat, vit D and B12, choline, sodium, DHA, EPA, DPA, and eaa from sweet white maize; used ALA from fresh maize"
Almonds,"Almonds, average of raw and dry-roasted and of whole and blanched, without salt","Pulses, nuts, and seeds",Nuts and seeds,Q21,N/A,Kenya,589,20.41,11.1,21.17,32.68,12.55,45.23,3.95,0,0,0,24.43,0.16,1.02,3.59,0.13,49.33,0,52.1,3.57,3.13,257.67,701.67,272.33,7.67,1537.5,0,0,0,0,0.4,0.1,0.26,No,No,No,,No,No,No,
Amaranth leaves,"Amaranth leaves, average of raw and cooked (boiled)",Vegetables,Dark green leafy vegetables,Q6.1,N/A,Bangladesh,22,4.07,3,2.29,0.06,0.11,0.17,0.07,142.5,42.2,0,2.06,0.02,0.15,0.61,0.18,71,0,19.5,2.29,0.89,212,626,55,20.5,50,0,0,0,0.14,0.8,0.1,0.44,No,No,No,,No,No,No,
Amaranth leaves,"Amaranth leaves, average of raw and cooked (boiled)",Vegetables,Dark green leafy vegetables,Q6.1,N/A,Kenya,22,4.07,3,2.29,0.06,0.11,0.17,0.07,142.5,42.2,0,2.06,0.02,0.15,0.61,0.18,71,0,19.5,2.29,0.89,212,626,55,20.5,50,0,0,0,0.11,0.8,0.1,0.44,No,No,No,,No,No,No,
Amaranth leaves ,"Amaranth leaves, average of raw and cooked (boiled)",Vegetables,Dark green leafy vegetables,Q6.1,N/A,Nigeria,22,4.07,3,2.29,0.06,0.11,0.17,0.07,142.5,42.2,0,2.06,0.02,0.15,0.61,0.18,71,0,19.5,2.29,0.89,212,626,55,20.5,50,0,0,0,0.14,0.8,0.1,0.44,No,No,No,,No,No,No,
Apple,"Apples, raw, with skin ",Fruits,Other fruits,Q10.2,171688,Indonesia,52,13.8,2.4,0.26,0.01,0.05,0.06,0.03,3,4.6,0,0.18,0.02,0.03,0.09,0.04,3,0,3.4,0.12,0.04,6,107,5,1,0.51,0,0,0,0.2,0.7,0.1,0.44,No,No,No,,No,No,No,For phytate: used an average of big and small apple
Apple,"Apples, raw, with skin ",Fruits,Other fruits,Q10.1,171688,Bangladesh,52,13.8,2.4,0.26,0.01,0.05,0.06,0.03,3,4.6,0,0.18,0.02,0.03,0.09,0.04,3,0,3.4,0.12,0.04,6,107,5,1,0.51,0,0,0,0.06,0.7,0.1,0.44,No,No,No,,No,No,No,For phytate: used an average of big and small apple
Apple,"Apples, raw, with skin ",Fruits,Other fruits,Q10.1,171688,Nigeria,52,13.8,2.4,0.26,0.01,0.05,0.06,0.03,3,4.6,0,0.18,0.02,0.03,0.09,0.04,3,0,3.4,0.12,0.04,6,107,5,1,0.51,0,0,0,0.2,0.7,0.1,0.44,No,No,No,,No,No,No,For phytate: used an average of big and small apple
Apple,"Apples, raw, with skin ",Fruits,Other fruits,Q10.2,171688,Kenya,52,13.8,2.4,0.26,0.01,0.05,0.06,0.03,3,4.6,0,0.18,0.02,0.03,0.09,0.04,3,0,3.4,0.12,0.04,6,107,5,1,0.51,0,0,0,0.02,0.7,0.1,0.44,No,No,No,,No,No,No,For phytate: used an average of big and small apple
Ash gourd,"Ash gourd, average of raw and cooked",Vegetables,Other vegetables,Q7.2,N/A,Bangladesh,14,3.02,1.95,0.4,0.04,0.09,0.12,0.02,0,11.75,0,0.08,0.04,0.06,0.39,0.03,4.5,0,4.9,0.39,0.6,18.5,5.5,10,109,14.6,0,0,0,0.07,0.8,0.1,0.44,No,No,No,,No,No,No,
Avocado,"Avocados, raw, all commercial varieties",Fruits,Other fruits,Q10.2,171705,Indonesia,160,8.53,6.7,2,9.8,1.82,11.62,2.13,7,10,0,2.07,0.07,0.13,1.74,0.26,81,0,14.2,0.55,0.64,12,485,29,7,11,0,0,0,0.11,0.7,0.1,0.44,No,No,No,,No,No,No,
Avocado,"Avocados, raw, all commercial varieties",Fruits,Other fruits,Q10.2, 171705,Nigeria,160,8.53,6.7,2,9.8,1.82,11.62,2.13,7,10,0,2.07,0.07,0.13,1.74,0.26,81,0,14.2,0.55,0.64,12,485,29,7,11,0,0,0,0.11,0.7,0.1,0.44,No,No,No,,No,No,No,
Avocado,"Avocados, raw, all commercial varieties",Fruits,Other fruits,Q10.1, 171705,Kenya,160,8.53,6.7,2,9.8,1.82,11.62,2.13,7,10,0,2.07,0.07,0.13,1.74,0.26,81,0,14.2,0.55,0.64,12,485,29,7,11,0,0,0,0.11,0.7,0.1,0.44,No,No,No,,No,No,No,
Banana,"Bananas, raw",Fruits,Other fruits,Q10.1,173944,Indonesia,89,22.8,2.6,1.09,0.03,0.07,0.11,0.11,3,8.7,0,0.1,0.03,0.07,0.67,0.37,20,0,9.8,0.26,0.15,5,358,27,1,22,0,0,0,0.05,0.7,0.1,0.44,No,No,No,,No,No,No,
Banana,"Bananas, raw",Fruits,Other fruits,Q10.1,173944,Bangladesh,89,22.8,2.6,1.09,0.03,0.07,0.11,0.11,3,8.7,0,0.1,0.03,0.07,0.67,0.37,20,0,9.8,0.26,0.15,5,358,27,1,22,0,0,0,0.05,0.7,0.1,0.44,No,No,No,,No,No,No,
Banana,"Bananas, raw",Fruits,Other fruits,Q10.1,173944,Nigeria,89,22.8,2.6,1.09,0.03,0.07,0.11,0.11,3,8.7,0,0.1,0.03,0.07,0.67,0.37,20,0,9.8,0.26,0.15,5,358,27,1,22,0,0,0,0.05,0.7,0.1,0.44,No,No,No,,No,No,No,
Banana,"Bananas, raw",Fruits,Other fruits,Q10.1,173944,Kenya,89,22.8,2.6,1.09,0.03,0.07,0.11,0.11,3,8.7,0,0.1,0.03,0.07,0.67,0.37,20,0,9.8,0.26,0.15,5,358,27,1,22,0,0,0,0.05,0.7,0.1,0.44,No,No,No,,No,No,No,
Beans,"Beans, average of multiple varieties and degrees of maturity, boiled, average of with & without salt","Pulses, nuts, and seeds",Legumes,Q4,N/A,Kenya,105,18.37,6.6,7.26,0.03,0.16,0.19,0.07,6.25,8.45,0,0.3,0.12,0.07,0.73,0.1,86.75,0,34.7,2.4,0.91,44.5,351.13,48.38,146.14,454.55,0,0,0,0.14,0.73,0.1,0.26,No,No,No,,No,No,No,Selection of bean varieties based on KE and TZ FCTs
Beef,"Beef, average of various cuts, deegrees of fat, and cooking methods",Animal-source foods,Unprocessed red meat (ruminant),Q17,N/A,Indonesia,265,0,0,26.58,7.38,0.62,8.01,6.47,1.67,0,0.2,0.2,0.07,0.21,4.84,0.37,8.14,2.61,90.42,2.5,5.91,11.29,336.57,22.57,66.71,0,0,0,0.01,0.01,1.12,0.2,0.44,No,No,No,,No,No,No,
Beef,"Beef, average of various cuts, deegrees of fat, and cooking methods",Animal-source foods,Unprocessed red meat (ruminant),Q17,N/A,Bangladesh,265,0,0,26.58,7.38,0.62,8.01,6.47,1.67,0,0.2,0.2,0.07,0.21,4.84,0.37,8.14,2.61,90.42,2.5,5.91,11.29,336.57,22.57,66.71,0,0,0,0.01,0.01,1.12,0.2,0.44,No,No,No,,No,No,No,
Beef,"Beef, average of various cuts, deegrees of fat, and cooking methods",Animal-source foods,Unprocessed red meat (ruminant),Q17,N/A,Nigeria,267,0,0,26.39,7.52,0.65,8.17,6.58,4.6,0,0.25,0.22,0.08,0.22,4.6,0.36,7.83,2.58,90.22,2.43,5.8,9.5,324.83,22.17,63,0,0,0,0.01,0.01,1.12,0.2,0.44,No,No,No,,No,No,No,
Beef,"Beef, average of various cuts, deegrees of fat, and cooking methods",Animal-source foods,Unprocessed red meat (ruminant),Q17,N/A,Kenya,265,0,0,26.58,7.38,0.62,8.01,6.47,1.67,0,0.2,0.2,0.07,0.21,4.84,0.37,8.14,2.61,90.42,2.5,5.91,11.29,336.57,22.57,66.71,0,0,0,0.01,0.01,1.12,0.2,0.44,No,No,No,,No,No,No,
Beef head,"Beef, cow head, barbecued, no sauce added",Animal-source foods,Unprocessed red meat (ruminant),Q17,2341251,Nigeria,257,0,0,25.9,7.35,0.73,8.08,6.73,3,0,0.2,0.31,0.07,0.19,5.42,0.47,7,1.8,82.6,2.18,5.06,13,269,20,357,0,0,0,0.01,0.01,1.12,0.2,0.44,No,No,No,,No,No,No,No other cooking methods available; Used ALA and eaa values for composite beef
Beef liver,"Beef liver, average of various cooking methods",Animal-source foods,Organ meat,Q17,N/A,Nigeria,183,5.15,0,27.8,1.12,1.07,2.18,2.74,8593,1.3,1.2,0.49,0.19,3.43,17.5,1.02,256.5,76.86,422.1,6.36,5.27,6,351.5,21.5,78,0,0,0,0,0.02,1.12,0.2,0.44,No,No,No,,No,No,No,
Beef liver,"Beef liver, average of various cooking methods",Animal-source foods,Organ meat,Q17,N/A,Kenya,183,5.15,0,27.8,1.12,1.07,2.18,2.74,8593,1.3,1.2,0.49,0.19,3.43,17.5,1.02,256.5,76.86,422.1,6.36,5.27,6,351.5,21.5,78,0,0,0,0,0.02,1.12,0.2,0.44,No,No,No,,No,No,No,
Beef organs,"Beef organs, average of liver, spleen, kidney, heart, and tongue, cooked (braised or simmered)",Animal-source foods,Organ meat,Q17,N/A,Indonesia,187,1.06,0,25.59,2.86,0.85,3.71,3.02,1718.6,10.58,0.7,0.29,0.1,1.64,7.43,0.37,71.1,24.14,329.78,12.1,3.57,9.4,234.7,17.7,70.6,0,0,0,0,0.03,1.12,0.2,0.44,No,No,No,,No,No,No,
Beef tripe,"Beef tripe, average of simmered and boiled",Animal-source foods,Organ meat,Q17,N/A,Kenya,99,1,0,15.36,1.16,0.18,1.34,1.14,3,0,0.3,0.33,0.01,0.06,1.54,0.01,3,1.51,249.75,2.19,2.05,119.5,72,19.5,54,0,0,0.01,0.01,0.01,1.12,0.2,0.44,No,No,No,,No,No,No,
Bitter leaves,"Bitter leaves, average of raw and cooked (boiled)",Vegetables,Dark green leafy vegetables,Q6.1,N/A,Nigeria,66,6.75,5.15,5.05,0.06,0.42,0.48,0.25,232,20.5,0,0.43,0.08,0.17,1.55,0.2,43,0,20,1.85,1.66,167.5,448.5,76.5,10,4.28,0,0,0,0.28,0.8,0.1,0.44,No,No,No,,No,No,No,
Bitter melon,"Balsam-pear (bitter gourd or bitter melon), pods, cooked, boiled, drained, without salt",Vegetables,Other vegetables,Q7.3,168394,Indonesia,19,4.32,2,0.84,0.03,0.08,0.11,0.01,6,33,0,0.14,0.05,0.05,0.28,0.04,51,0,10.8,0.38,0.77,9,319,16,6,13.84,0,0,0,0.06,0.8,0.1,0.44,No,No,No,,No,No,No,Used phytate for raw bitter gourd as phytate value for cooked was missing
Bitter melon,"Balsam-pear (bitter gourd or bitter melon), pods, cooked, boiled, drained, without salt",Vegetables,Other vegetables,Q7.2,168394,Bangladesh,19,4.32,2,0.84,0.03,0.08,0.11,0.01,6,33,0,0.14,0.05,0.05,0.28,0.04,51,0,10.8,0.38,0.77,9,319,16,6,13.84,0,0,0,0.07,0.8,0.1,0.44,No,No,No,,No,No,No,Used phytate for raw bitter gourd as phytate value for cooked was missing
Bivalves,"Bivalve mollusks, average of various species consumed in Indonesia, and of different cooking methods",Animal-source foods,Fish and seafood,Q20,N/A,Indonesia,162,8.58,0.14,17.63,1.83,2.12,3.95,0.99,71.57,6.93,0,1.23,0.13,0.22,2.12,0.08,34,24.05,76.48,3.76,10.27,37.43,282,28.86,522.29,0,0.21,0.23,0.03,0.39,1,0.15,0.44,No,No,No,,No,No,No,
Blackeyes cowpeas,"Cowpeas, common (blackeyes, crowder, southern), mature seeds, cooked, boiled, without salt","Pulses, nuts, and seeds",Legumes,Q4,173759,Nigeria,116,20.76,6.5,7.73,0.04,0.23,0.27,0.14,1,0.4,0,0.28,0.2,0.06,0.5,0.1,208,0,32.2,2.51,1.29,24,278,53,4,496.1,0,0,0,0.13,0.78,0.1,0.26,No,No,No,,No,No,No, Used ALA value for brown cowpeas
Boar,"Game meat, boar, wild, cooked, roasted",Animal-source foods,Unprocessed red meat (non-ruminant),Q18,175298,Indonesia,160,0,0,28.3,1.71,0.64,2.35,1.3,0,0,0,0.38,0.31,0.14,4.21,0.42,6,0.7,117.4,1.12,3.01,16,396,27,60,0,0,0,0,0.12,1.26,0.15,0.44,No,No,No,,No,No,No,No other cooking methods available
Refined wheat bread (fortified),"Bread, white, commercially prepared (includes soft bread crumbs)",Starchy staples,Refined grains,Q1,174924,Nigeria,266,49.42,2.7,8.85,0.6,1.6,2.2,0.7,0,0,0,0.22,0.53,0.24,4.78,0.09,171,0,14.6,3.61,0.74,144,126,23,490,44,0,0,0,0.17,0.29,0.1,0.44,No,No,No,,No,Yes,Yes,Used aee values for flat bread
Refined wheat bread (fortified),"Bread, white, commercially prepared (includes soft bread crumbs)",Starchy staples,Refined grains,Q1,174924,Kenya,266,49.42,2.7,8.85,0.6,1.6,2.2,0.7,0,0,0,0.22,0.53,0.24,4.78,0.09,171,0,14.6,3.61,0.74,144,126,23,490,44,0,0,0,0.17,0.29,0.1,0.44,No,No,No,,No,Yes,Yes,
Whole wheat bread (fortified),"Bread, whole-wheat, commercially prepared",Starchy staples,Whole grains,Q2,172688,Nigeria,252,42.71,6,12.45,0.62,1.59,2.21,0.72,0,0,0,2.66,0.39,0.17,4.44,0.22,42,0,27.2,2.47,1.77,161,254,75,455,176,0,0,0,0.14,0.56,0.1,0.26,No,No,No,,No,Yes,Yes,
