"Food","Food_group","DQQ_food_group","USDA_FDC_ID","Energy_kcal","Carbohydrates","Fiber","Monounsaturated_FAs_g","Polyunsaturated_FAs_g","Unsaturated_FAs_g","Saturated_FAs_g","VitA_RAE_mcg","VitC_mg","VitD_mcg","VitE_mg","Thiamin_mg","Riboflavin_mg","Niacin_mg","VitB6_mg","Folate_DFE_mcg","VitB12_mcg","Choline_mg","Iron_mg","Zinc_mg","Calcium_mg","Potassium_mg","Magnesium_mg","Sodium","DHA_g","EPA_g","DPA_g","ALA_g","His_g","Ile_g","Leu_g","Lys_g","Met_g_SAA","Cys_g_SAA","Phe_g_AAA","Trp_g_AAA","Tyr_g_AAA","Thr_g","Val_g","EAA_quantity","DIAAS","Phytate_mg","Iron_Abs","Zinc_Abs","DQQ_question","Comments","Food_long","Country","Liquids","Dried_Foods","V_E","V_M","V","M_E","M_M","M","N3_E","N3_M","N3","eaa_E","eaa_M","eaa","EAA","F_E","F_M","F","SUR","CFR","NaKR","NR","EMR","NDS","NVS","NVS_100","NVS_100_Cal","Cal_1000"
"Lamb","Animal-source foods","Unprocessed red meat (ruminant)","N/A",252,0,0,6.51,1.25,7.75,6.33,0,0,0.1,0.17,0.1,0.26,6.6,0.14,20.6,2.63,100.6,2.08,4.92,17.4,309,26,76,0,0,0,0.02,0.82,1.25,2.01,2.28,0.66,0.31,1.05,0.3,0.87,1.1,1.39,12.04,87.1666666666667,0,0.2,0.44,"Q17","","Lamb, average of various cuts, deegrees of fat, and cooking methods","Nigeria",0,0,27.0450935933367,43.907624672915,37.3276172442513,23.3998542609602,32.1042360034484,30.8616400408493,1.18580437268286,1.24794630334602,1.23753013211105,47.3422634684322,41.3957765667575,44.3500656802925,71.0098977687469,1,1,1,-4.15776603811328,0,0,97.6366140213589,-23.4615384615385,53.3239221774775,59.4128144601768,388.805011341172,504.941573170353,396.825396825397
"Beef liver","Animal-source foods","Organ meat","N/A",183,5.15,0,1.12,1.07,2.18,2.74,8593,1.3,1.2,0.49,0.19,3.43,17.5,1.02,256.5,76.86,422.1,6.36,5.27,6,351.5,21.5,78,0,0,0,0.02,0.84,1.29,2.55,2.15,0.73,0.5,1.45,0.35,1.08,1.16,1.68,13.78,87.1666666666667,0,0.2,0.44,"Q17","","Beef liver, average of various cooking methods","Nigeria",0,0,87.6514429783448,95.1084044162891,96.233004795048,45.1846674367352,45.9783737978767,50.9387515404437,1.25586175910427,1.24794630334602,1.27589489134182,74.3456778765546,47.2629427792915,60.7909557488184,79.9870473817311,1,1,1,-6.83159882673598,0,0,96.1167355905058,-10.1923076923077,100,88.2850007735544,261.652600074729,339.808571525622,546.448087431694
"Pork","Animal-source foods","Unprocessed red meat (non-ruminant)","N/A",286,0,0,8.52,2.34,10.86,7.05,3.2,0.22,1.38,0.26,0.51,0.34,5.79,0.38,2.4,0.77,88.98,1.21,3.21,30.8,335.8,20.6,76,0,0,0.01,0.11,1.03,1.21,2.09,2.31,0.69,0.31,1.05,0.32,0.94,1.16,1.36,12.47,100,0,0.15,0.44,"Q18","","Pork, average of various cuts, deegrees of fat, and cooking methods","Nigeria",0,0,23.6328061705401,55.0975061517907,41.4252288693566,12.99474641606,23.9144958490218,20.3921554810693,1.90043657530924,2.36370466840313,2.23988687155677,43.2446925090513,42.8457084468665,43.0257950948168,77.2941425853053,1,1,1,-3.1395076179397,0,0,98.2154194786192,-30,51.9398468606135,58.1827987172105,397.024558964143,515.616310343043,349.65034965035
"Ground pork","Animal-source foods","Unprocessed red meat (non-ruminant)","N/A",288,0.55,0,8.92,2.7,11.61,6.71,0,0,0.5,0.44,0.35,0.46,8.57,0.54,3.67,0.97,85.63,1.16,2.54,20,345,21.67,89.33,0.01,0,0.02,0.12,1.07,1.24,2.17,2.33,0.72,0.31,1.16,0.35,1.15,1.15,1.37,13.02,100,0,0.15,0.44,"Q18","No other cooking methods available","Pork, ground, average of various degrees of fat, cooked, pan-broiled","Nigeria",0,0,26.508692443206,58.5503085151975,44.7594872453867,11.0209881452362,21.1756731615916,17.7388241077266,2.20958646616541,2.84472049689441,2.67259667024705,44.821304404934,44.700272479564,44.7419675865224,78.2312169867225,1,1,1,-2.70680863198497,0,0,98.4613772133747,-30.3846153846154,52.6833667768804,58.7135412193109,393.435645683766,510.955384004891,347.222222222222
"Shoulder blade steak (pork)","Animal-source foods","Unprocessed red meat (non-ruminant)","N/A",263,0,0,7.7,1.77,9.47,6.27,2.5,0.15,1.4,0.21,0.6,0.38,3.97,0.36,2,1,95.1,1.58,4.68,31,315.5,22,63.5,0,0,0,0.08,1.05,1.22,2.09,2.31,0.68,0.31,1.04,0.29,0.92,1.15,1.35,12.42,100,0,0.15,0.44,"Q18","","Pork, fresh, shoulder, blade, boston (steaks), separable lean and fat, average of various cooking methods","Nigeria",0,0,26.737751485846,55.030926023151,43.0259861755916,18.9207871254554,30.0069023539923,27.1589194550416,1.71213234853354,1.99178521338409,1.93309771247871,46.7992637564713,42.6771117166213,44.7193591804088,78.2188722144293,1,1,1,-3.21799928495094,0,0,98.1708027051995,-25.5769230769231,56.8271533710433,61.5998621907087,375.000838938309,487.014076543259,380.228136882129
"Pork feet","Animal-source foods","Unprocessed red meat (non-ruminant)","168290",238,0,0,8.01,1.54,9.55,4.34,0,0,0,0.09,0.02,0.06,0.59,0.04,2,0.41,75.4,0.98,1.05,0,33,5,73,0,0,0,0.06,1.03,1.21,2.09,2.31,0.69,0.31,1.05,0.32,0.94,1.16,1.36,12.47,100,0,0.15,0.44,"Q18","Used eaa values for composite pork","Pork, fresh, variety meats and by-products, feet, cooked, simmered","Nigeria",0,0,7.05225960525869,13.9986699379746,11.0369484190808,4.3992499514467,6.90511811935337,5.97580558448259,1.59020212499261,1.74383891003807,1.73054628108823,51.8723175475596,42.8457084468665,47.3410773968714,79.6503979149342,1,1,1,-1.95649539125632,0,0,98.8878754281543,-20.7692307692308,27.7461715464192,45.2483804215826,510.515509832076,663.007155626073,420.168067226891
"Chicken wings","Animal-source foods","Poultry","N/A",275,0.8,0.03,7.73,4.04,11.77,5.25,30,0,0.15,0.48,0.05,0.13,5.88,0.4,6.67,0.27,81.3,1.07,1.68,15,176,18,80.67,0.04,0.01,0.02,0.16,0.75,1.16,1.81,2.04,0.63,0.31,0.94,0.28,0.79,1.02,1.19,10.91,83.5,0,0.15,0.44,"Q19","","Chicken, broilers or fryers, wing, meat and skin, average of various cooking methods","Nigeria",0,0,14.9245072101458,33.791652435554,25.6123257995029,7.61120680100181,14.3257347924101,11.9622790598098,3.95578947368421,5.30434782608696,4.97578947368421,39.3901551537356,37.5854904632153,38.4668646561104,65.7954239362702,1.05841059602649,1.06556291390728,1.06198675496689,-1.90545587174437,0,0,98.9168876630096,-27.8846153846154,35.2766060847303,48.8337207545066,473.033789829915,614.329597181707,363.636363636364
"Whole chicken (excl giblets & neck)","Animal-source foods","Poultry","N/A",242,1.05,0.03,5.39,3.04,8.43,3.78,39.67,0,0.03,0.39,0.07,0.17,7.69,0.34,7,0.27,67.7,1.27,1.91,15,207.67,22.33,77.67,0.04,0.01,0.02,0.16,0.79,1.34,1.96,2.18,0.72,0.36,1.05,0.3,0.87,1.11,1.31,11.98,83.5,0,0.15,0.44,"Q19","Used ALA value for chicken wings","Chicken, broilers or fryers, meat and skin, average of various cooking methods","Nigeria",0,0,18.3620715277826,34.2039054332424,27.6405952195915,10.5058846640334,16.8615502933343,15.0198177085785,4.35885167464115,5.30434782608696,5.19651401230349,49.0360416375192,41.1934604904632,45.0960508088171,69.4151303911597,1.06637567730283,1.06556291390728,1.06596929560506,-1.9197288517714,0,0,98.9087745174983,-21.5384615384615,39.2811362389767,52.0635514164379,443.688518580518,576.218855299375,413.223140495868
"Whole chicken (incl giblets & neck)","Animal-source foods","Poultry","N/A",241,1.13,0,5.33,3.04,8.36,3.77,204.33,0.5,0,0.33,0.07,0.23,7.41,0.34,29.33,0.95,73.3,1.73,2.17,15.33,204,22.33,77,0.04,0.01,0.02,0.16,0.77,1.33,1.95,2.14,0.7,0.36,1.05,0.3,0.86,1.11,1.3,11.86,83.5,0,0.15,0.44,"Q19","Used ALA value for chicken wings","Chicken, broilers or fryers, meat and skin and giblets and neck, average of various cooking methods","Nigeria",0,0,27.4938942186671,52.4871338779342,42.0841662553144,12.2589790459507,19.1327684193118,17.2856322861787,4.37278881851933,5.30434782608696,5.20414625776058,48.7490473980013,40.7888283378747,44.750119788847,69.226243140585,1,1,1,-1.93527197523204,0,0,98.8999393883173,-21.3461538461538,48.4937173510332,57.5281313826102,401.542679117555,521.483998853968,414.9377593361
"Duck","Animal-source foods","Poultry","N/A",337,0,0,12.87,3.64,16.52,9.65,63,0,0.1,0.7,0.17,0.27,4.82,0.18,6,0.3,50.3,2.7,1.86,11,203.5,16,140,0,0,0,0.08,0.46,0.87,1.47,1.49,0.48,0.3,0.75,0.23,0.64,0.77,0.94,8.39,83.5,0,0.15,0.44,"Q19","","Duck, average of different cooking methods","Nigeria",0,0,11.9250687234587,33.2044775429883,23.722724906011,8.7231059094846,19.9393995311133,15.7489831434611,1.5557590731879,1.99178521338409,1.84746472836085,24.89240426474,29.0882152588556,26.9654342284969,59.5153465632285,1,1,1,-2.744417878022,0,0,98.4399991069742,-39.8076923076923,33.8421327307678,46.0006609946476,502.166697184804,652.164541798447,296.73590504451
