"Food","Food_group","DQQ_food_group","USDA_FDC_ID","Energy_kcal","Carbohydrates","Fiber","Monounsaturated_FAs_g","Polyunsaturated_FAs_g","Unsaturated_FAs_g","Saturated_FAs_g","VitA_RAE_mcg","VitC_mg","VitD_mcg","VitE_mg","Thiamin_mg","Riboflavin_mg","Niacin_mg","VitB6_mg","Folate_DFE_mcg","VitB12_mcg","Choline_mg","Iron_mg","Zinc_mg","Calcium_mg","Potassium_mg","Magnesium_mg","Sodium","DHA_g","EPA_g","DPA_g","ALA_g","His_g","Ile_g","Leu_g","Lys_g","Met_g_SAA","Cys_g_SAA","Phe_g_AAA","Trp_g_AAA","Tyr_g_AAA","Thr_g","Val_g","EAA_quantity","DIAAS","Phytate_mg","Iron_Abs","Zinc_Abs","DQQ_question","Comments","Food_long","Country","Liquids","Dried_Foods","V_E","V_M","V","M_E","M_M","M","N3_E","N3_M","N3","eaa_E","eaa_M","eaa","EAA","F_E","F_M","F","SUR","CFR","NaKR","NR","EMR","NDS","NVS","NVS_100","NVS_100_Cal","Cal_1000"
"Cantaloupe","Fruits","Vitamin A-rich fruits","169092",34,8.16,0.9,0,0.08,0.08,0.05,169,36.7,0,0.05,0.04,0.02,0.73,0.07,21,0,7.6,0.21,0.18,9,267,12,16,0,0,0,0.11,0.02,0.02,0.03,0.03,0.01,0,0.02,0,0.01,0.02,0.03,0.2,48.6666666666667,20,0.1,0.44,"Q8","","Melons, cantaloupe, raw","Indonesia",0,0,46.6179444126706,23.587611694289,36.9339761866596,28.1397469218259,6.87172562418068,19.3236514108777,8.57426060407185,2.36370466840313,5.89460003016487,6.23740471606749,1.47207084468665,3.82197959904159,27.8585264365258,15.1731593299571,2.96688741721854,9.07002337358785,0,-9.28310965753167,0,94.7232309365935,0,33.7603653258654,50.2049916052006,460.113611444308,597.550144732868,2941.17647058824
"Mango","Fruits","Vitamin A-rich fruits","169910",60,14.98,1.6,0.14,0.07,0.21,0.09,54,36.4,0,0.9,0.03,0.04,0.67,0.12,43,0,7.6,0.16,0.09,11,168,10,1,0,0,0,0.11,0.02,0.03,0.05,0.07,0.01,0,0.03,0.01,0.02,0.03,0.04,0.3,48.6666666666667,25,0.1,0.44,"Q8","","Mangos, raw","Indonesia",0,0,38.3228096545185,23.1921826977779,32.3553680961546,10.2331453775534,4.57912661565306,7.95086587828842,5.29208100897405,2.36370466840313,4.09721596618274,5.37170176262455,1.80926430517711,3.5576348168766,27.714187374041,15.2781456953642,4.49668874172185,9.88741721854305,0,-9.5900530055261,0,94.5487560868214,0,24.5789776795801,44.6755320532178,517.061553346094,671.508510839083,1666.66666666667
"Papaya","Fruits","Vitamin A-rich fruits","169926",43,10.82,1.7,0.07,0.06,0.13,0.08,47,60.9,0,0.3,0.02,0.03,0.36,0.04,37,0,6.1,0.25,0.08,20,182,21,8,0,0,0,0.11,0.01,0.01,0.02,0.03,0,0,0.01,0.01,0.01,0.01,0.01,0.1,48.6666666666667,22.8,0.1,0.44,"Q8","","Papayas, raw","Indonesia",0,0,36.0950460323074,20.9453851766617,29.9979534990516,21.7066157535025,7.03502395486439,15.7935382263845,6.98895024508007,2.36370466840313,5.02645388119318,2.74774939986339,1.13487738419619,1.90790327734223,26.8133914445061,22.1681811181272,4.71523178807947,13.4417064531033,0,-6.47967679233642,0,96.3167775346774,0,27.4841977758773,47.5367665936224,485.939655876787,631.090462177645,2325.58139534884
"Tangerine","Fruits","Citrus","169105",53,13.3,1.8,0.06,0.07,0.13,0.04,34,26.7,0,0.2,0.06,0.04,0.38,0.08,16,0,10.2,0.15,0.07,37,166,12,2,0,0,0,0.11,0.01,0.02,0.03,0.03,0,0,0.02,0,0.02,0.02,0.02,0.16,48.6666666666667,10,0.1,0.44,"Q9","Phytate value for mandarin missing, used orange as a proxy","Tangerines, (mandarin oranges), raw","Indonesia",0,0,30.6642257221352,15.649904993639,24.3468211207894,15.0960626453186,6.08015116109241,11.5339653774129,5.85895963280081,2.36370466840313,4.40764949827834,3.42795362187531,1.33719346049046,2.34931377066881,27.0544129477713,19.1844308384356,4.93377483443709,12.0591028364363,0,-7.5423229703144,0,95.7127408827186,0,21.9635284606929,43.8348716135324,526.977704044848,684.386628629673,1886.79245283019
"Orange","Fruits","Citrus","169097",47,11.8,2.4,0.02,0.03,0.05,0.02,11,53.2,0,0.18,0.09,0.04,0.28,0.06,30,0,8.4,0.1,0.07,40,181,10,0,0,0,0,0.11,0.02,0.03,0.02,0.05,0.02,0.01,0.03,0.01,0.02,0.02,0.04,0.25,48.6666666666667,10,0.1,0.44,"Q9","","Oranges, raw, all commercial varieties","Indonesia",0,0,33.9325876126423,20.9171532741348,28.8437921907479,17.1575510098953,6.06018151240017,12.6834046562512,6.47925235188176,2.36370466840313,4.74733360634649,5.68482836280604,1.64066757493188,3.62992437362837,27.7536593347263,28.3411300549528,6.24503311258278,17.2930815837678,0,-4.97725649411676,0,97.170793617903,0,25.3720108918362,47.0731367327134,490.725743031836,637.306159781606,2127.65957446808
"Grapefruit","Fruits","Citrus","173033",32,8.08,1.1,0.01,0.02,0.04,0.01,46,34.4,0,0.13,0.04,0.02,0.25,0.04,10,0,7.7,0.09,0.07,12,139,8,0,0,0,0,0.11,0.01,0.01,0.01,0.02,0.01,0.01,0.04,0.01,0.01,0.01,0.01,0.13,48.6666666666667,20.36,0.1,0.44,"Q9","Phytate value for grapefruit missing; used phytate value for pomelo as a proxy","Grapefruit, raw, pink and red and white, all areas","Indonesia",0,0,34.9575688087062,15.660411848681,26.6142968242401,16.515636826748,3.58709113033774,10.9295590641664,9.04765189182634,2.36370466840313,6.15383811631613,4.45189237459143,1.23603542234332,2.81086133080075,27.3064298083879,19.4054221854305,3.40397350993377,11.4046978476821,0,-7.49725745101859,0,95.7383573352673,0,23.243014909385,44.6487115254766,517.372152762328,671.911886704322,3125
"Banana","Fruits","Other fruits","173944",89,22.8,2.6,0.03,0.07,0.11,0.11,3,8.7,0,0.1,0.03,0.07,0.67,0.37,20,0,9.8,0.26,0.15,5,358,27,1,0,0,0,0.05,0.08,0.03,0.07,0.05,0.01,0.01,0.05,0.01,0.01,0.03,0.05,0.38,48.6666666666667,22,0.1,0.44,"Q10.1","","Bananas, raw","Indonesia",0,0,20.4007695519899,14.8549322097866,18.5207074524005,14.408016292564,10.2928411522562,13.5184506580878,2.31524443584496,1.61986575836506,2.0597032015912,4.65514613449388,2.07901907356948,3.33415827101772,27.592163421639,16.6417888235732,6.68211920529801,11.6619540144356,0,-8.97450356117323,0,94.898650937231,0,19.6302676643855,41.9476045388859,550.686988063551,715.17790657604,1123.59550561798
"Guava","Fruits","Other fruits","173044",68,14.3,5.4,0.09,0.4,0.49,0.27,31,228.3,0,0.73,0.07,0.04,1.08,0.11,49,0,7.6,0.26,0.23,18,417,22,2,0,0,0,0.05,0.02,0.09,0.17,0.07,0.02,0.01,0.01,0.02,0.03,0.1,0.09,0.63,48.6666666666667,50.63,0.1,0.44,"Q10.1","For phytate: used an average of pink and white flesh guava","Guavas, common, raw","Indonesia",0,0,36.7335444986228,26.2881538359604,33.1491734688854,21.9053015829161,11.5521788466679,18.4487049488526,2.72142286456178,1.61986575836506,2.28213424588851,9.55593270426542,2.92200272479564,6.20702187729527,29.1608209762943,43.5194779898714,12.8013245033113,28.1604012465914,-2.54319974599898,-2.62354380996537,0,97.0630840784534,0,31.0151093648459,51.5649048410448,447.979106549476,581.791047466852,1470.58823529412
"Watermelon","Fruits","Other fruits","167765",127,7.55,0.4,0.04,0.05,0.09,0.02,28,8.1,0,0.05,0.03,0.02,0.18,0.05,3,0,4.1,0.24,0.1,7,112,10,1,0,0,0,0.05,0.01,0.02,0.02,0.06,0.01,0,0.02,0.01,0.01,0.03,0.02,0.19,48.6666666666667,3.9,0.1,0.44,"Q10.1","","Watermelon, raw","Indonesia",0,0,5.97342715205839,6.32450944593301,6.42544962031611,3.26371225271279,3.71300286839777,3.53920079274131,1.92170673063151,1.61986575836506,1.84419445826002,1.93388399737739,1.4383514986376,1.65262068420784,26.6740005707392,2.68639516086979,1.87417218543046,2.28028367315013,0,-19.4597947445585,0,88.9385295793618,0,7.05687539944765,31.1123407455538,742.470654616405,964.247603397928,787.40157480315
"Dragon fruit","Fruits","Other fruits","2344729",57,15.23,3.1,0.08,0.09,0.18,0.02,1,4.3,0,0.12,0.01,0.03,0.16,0.03,7,0,5.1,0.18,0.1,9,116,7,1,0,0,0,0.05,0.03,0.04,0.08,0.06,0.01,0.01,0.03,0.01,0.02,0.05,0.05,0.38,48.6666666666667,20.55,0.1,0.44,"Q10.1","","Dragon fruit","Indonesia",0,0,8.55839186837726,4.00012780717303,6.56273735225635,8.1571409921788,3.28866418841376,6.05543912798916,3.05362727702108,1.61986575836506,2.46405570985431,7.00691845246121,2.07901907356948,4.51044507264499,28.2344463249352,30.1199024050192,7.77483443708609,18.9473684210526,0,-4.97335171731356,0,97.1730131980001,0,9.12221322407089,37.5034556347351,615.943240670472,799.926286585028,1754.38596491228
"Longans","Fruits","Other fruits","169089",60,15.1,1.1,0.06,0.15,0.21,0.11,15.75,84,0,0.25,0.03,0.14,0.3,0.14,19.75,0,6.65,0.13,0.05,1,266,10,0,0,0,0,0.05,0.01,0.03,0.05,0.05,0.01,0.01,0.03,0.01,0.03,0.03,0.06,0.32,48.6666666666667,5.65,0.1,0.44,"Q10.1","Phytate value for longan missing, used rambutan as a proxy (they belong to the same family)","Longans, raw","Indonesia",0,0,31.2116829978604,21.9554410716311,27.957308506797,11.8238850199537,5.46582022058034,9.34573875553493,2.95094591317002,1.61986575836506,2.40782543917397,5.69874510059188,1.8767029972752,3.75494303498088,27.8219227452046,10.8162251655629,3.40397350993377,7.11009933774834,0,-14.1187446815055,0,91.9745260049731,0,22.678989455728,42.1397924349335,548.175457571791,711.916178664664,1666.66666666667
"Apple","Fruits","Other fruits","171688",52,13.8,2.4,0.01,0.05,0.06,0.03,3,4.6,0,0.18,0.02,0.03,0.09,0.04,3,0,3.4,0.12,0.04,6,107,5,1,0,0,0,0.2,0.01,0.01,0.01,0.01,0,0,0.01,0,0,0.01,0.01,0.06,48.6666666666667,0.51,0.1,0.44,"Q10.2","For phytate: used an average of big and small apple","Apples, raw, with skin ","Indonesia",0,0,9.63972010718617,4.10069041629926,7.18541444792186,6.46382633527551,2.31439591423786,4.55350599522695,10.0043657530924,3.47946303346023,7.28876338311216,1.5981247860784,1,1.26543345347976,26.462586366034,25.7121752419766,6.24503311258278,15.9786041772797,0,-5.84188564339686,0,96.6793151678409,0,8.83742942027993,37.0950683524887,622.724287242086,808.732840574138,1923.07692307692
"Avocado","Fruits","Other fruits"," 171705",160,8.53,6.7,9.8,1.82,11.62,2.13,7,10,0,2.07,0.07,0.13,1.74,0.26,81,0,14.2,0.55,0.64,12,485,29,7,0,0,0,0.11,0.05,0.08,0.14,0.13,0.04,0.03,0.1,0.03,0.05,0.07,0.11,0.82,48.6666666666667,11,0.1,0.44,"Q10.2","","Avocados, raw, all commercial varieties","Indonesia",0,0,20.5761945331377,26.9869378110061,25.0048554120214,12.3461556324454,15.6487614120991,15.3731098690454,2.60953037836527,2.36370466840313,2.62820014465888,5.4943430143623,3.56267029972752,4.49597803921085,28.2265469519054,23.4211506622517,15.6423841059603,19.531767384106,-0.309171463261453,-1.19689137486134,0,99.1439133991803,-5.76923076923077,24.5483438910429,46.7388608371861,494.235408955909,641.864167475206,625
"Pear","Fruits","Other fruits","169118",57,15.23,3.1,0.08,0.09,0.18,0.02,1,4.3,0,0.12,0.01,0.03,0.16,0.03,7,0,5.1,0.18,0.1,9,116,7,1,0,0,0,0.2,0,0.01,0.02,0.02,0,0,0.01,0,0,0.01,0.02,0.1,48.6666666666667,4.83,0.1,0.44,"Q10.2","","Pears, raw","Indonesia",0,0,8.55839186837726,4.00012780717303,6.56273735225635,8.1571409921788,3.28866418841376,6.05543912798916,9.2145091080843,3.47946303346023,6.85622283941724,2.18733241925842,1.13487738419619,1.62759931566315,26.6603382587834,30.1199024050192,7.77483443708609,18.9473684210526,0,-4.97335171731356,0,97.1730131980001,0,9.31941621075295,37.9017415771473,609.470674401095,791.520356365058,1754.38596491228
"Durian","Fruits","Other fruits","168192",147,27.1,3.8,0.05,0.07,0.12,0.03,2,19.7,0,0.15,0.37,0.2,1.07,0.32,36,0,4.25,0.43,0.28,6,436,30,2,0,0,0,0.2,0,0.01,0.02,0.01,0,0,0.01,0,0,0.01,0.01,0.08,48.6666666666667,2.67,0.1,0.44,"Q10.2","Phytate value for durian missing","Durian, raw or frozen","Indonesia",0,0,24.6861002598302,29.7022917859882,28.6007313726709,10.6760679161716,13.0355824525542,12.9614959462251,4.18521781742044,3.47946303346023,4.10208713262513,1,1.06743869209809,1,26.3176528609593,14.841059602649,9.3046357615894,12.0728476821192,0,-7.27534975930861,0,95.8644956322115,-3.26923076923077,24.833858129877,45.1550053910663,511.571193490992,664.378173364925,680.272108843537
"Snake fruit","Fruits","Other fruits","IDE092 (from ID FCT)",87,20.9,0.4,0.05,0.07,0.12,0.03,4,2,0,0.15,0.04,0.2,2.4,1,3,0,4.25,4.2,0,28,219.67,14,1.33,0,0,0,0.2,0,0.01,0.02,0.01,0,0,0.01,0,0,0.01,0.01,0.08,48.6666666666667,2.67,0.1,0.44,"Q10.2","Phytate value for snake fruit missing","Snake fruit","Indonesia",0,0,26.76060526894,23.1226026818412,26.2271831278078,26.3789240699518,18.9960250423987,25.1586148319773,6.38191976046903,3.47946303346023,5.3050429585803,1.36824021164513,1.06743869209809,1.18418283839695,26.4182214365986,3.46174925782142,1.87417218543046,2.66796072162594,0,-54.0881921732265,0,69.2548176543722,0,30.5070900258026,38.0094919508998,607.742929840796,789.276532260774,1149.42528735632
"Pineapple","Fruits","Other fruits","169124",50,13.1,1.4,0.01,0.04,0.05,0.01,3,47.8,0,0.02,0.08,0.03,0.5,0.11,18,0,5.5,0.29,0.12,13,109,12,1,0,0,0,0.11,0.01,0.02,0.02,0.03,0.01,0.01,0.02,0.01,0.02,0.02,0.02,0.19,48.6666666666667,8.59,0.1,0.44,"Q10.3","","Pineapple, raw, all varieties","Indonesia",0,0,30.0701522054789,19.8925389533576,26.2690587149084,12.4964590907744,4.4740143643624,9.16600121488233,6.15049721076886,2.36370466840313,4.56730102907037,4.19434574594215,1.4383514986376,2.78323664567055,27.2913460184962,15.9920529801325,4.05960264900662,10.0258278145695,0,-9.58449467528073,0,94.5519155911432,0,21.8166468229188,43.0837403020559,536.165148105716,696.318374163267,2000
"Rose apple","Fruits","Other fruits","168171",25,5.7,2.1,0.02,0.11,0.13,0.01,17,22.3,0,0.09,0.02,0.03,0.8,0.06,15,0,6.55,0.07,0.06,29,123,5,0,0,0,0,0.11,0.01,0.03,0.05,0.05,0.02,0.01,0.03,0.01,0.03,0.03,0.04,0.31,48.6666666666667,0.51,0.1,0.44,"Q10.3","Phytate value for rose-apple missing; used phytate value for apple as a proxy","Rose-apples, raw (jamrul)","Indonesia",0,0,42.3335807832771,12.4382255016766,28.8027324840922,21.979969361173,3.70107672008315,14.0703277046337,11.3009944215377,2.36370466840313,7.38781140639617,12.6320638654993,1.84298365122616,7.2059181446518,29.7062440770228,45.9761589403973,5.58940397350993,25.7827814569536,0,-2.69216517101935,0,98.4697009502102,0,27.1564462485988,49.8760917174213,463.147756862661,601.490593328131,4000
"Starfruit","Fruits","Other fruits","171715",31,6.73,2.8,0.03,0.18,0.21,0.02,3,34.4,0,0.15,0.01,0.02,0.37,0.02,12,0,7.6,0.08,0.12,3,133,10,2,0,0,0,0.11,0.01,0.04,0.08,0.08,0.02,0.01,0.04,0.01,0.04,0.04,0.05,0.42,48.6666666666667,3.8,0.1,0.44,"Q10.3","","Carambola, raw (starfruit)","Indonesia",0,0,26.089826991682,13.2343799916095,20.6641922077474,16.975678841781,3.4324799661685,11.1015262443936,9.30725356575622,2.36370466840313,6.29600093775393,13.7587809137223,2.21389645776567,7.95498820488732,30.1152556313434,49.3614612262337,7.11920529801325,28.2403332621235,0,-2.36978201678777,0,98.6529522008762,0,20.950096418056,46.5019586231365,496.75326983984,645.134116675117,3225.8064516129
"Coconut","Fruits","Other fruits","170169",354,15.23,9,1.43,0.37,1.79,29.7,0,3.3,0,0.24,0.07,0.02,0.54,0.05,26,0,12.1,2.43,1.1,14,356,32,20,0,0,0,0.11,0.08,0.13,0.25,0.15,0.06,0.07,0.17,0.04,0.1,0.12,0.2,1.36,48.6666666666667,136,0.1,0.3,"Q10.3","","Nuts, coconut meat, raw","Indonesia",0,0,2.74670826343046,8.45836406681382,5.84967602042211,6.41022119097762,21.380697140219,15.2582521740706,1.72747135745323,2.36370466840313,2.14516782368324,4.23536474087365,5.38351498637602,4.77700696408944,28.3799959862153,14.6126389044786,20.6688741721854,17.640756538332,-100,-1.63171810583562,0,42.2297995234148,-43.0769230769231,13.82837560908,14.4941296286311,1593.74868252656,2069.80348380072,282.485875706215
"White rice","Starchy staples","Refined grains","N/A",130,28.5,0.4,0.07,0.06,0.13,0.06,0,0,0,0.04,0.02,0.02,0.4,0.07,2.33,0,2.1,0.2,0.44,4.67,30,11,0.33,0,0,0,0.02,0.06,0.11,0.2,0.09,0.06,0.05,0.13,0.03,0.08,0.09,0.15,1.05,35.8333333333333,45.7,0.1,0.44,"Q1","","White rice, cooked, unenriched, average of long-, medium-, and short-grain","Indonesia",0,0,2.88049754218286,3.20545390577203,3.15267626878386,3.65851552608618,3.41008089301512,3.59093285479858,1.3601746301237,1.24794630334602,1.33301860642389,8.39056334386146,4.33821525885559,6.33248619720226,22.2219970488643,2.6474783494651,1.87417218543046,2.26082526744778,0,-73.8017367768129,0,58.0491089929548,0,3.7770849857222,17.6363340522449,1309.79601155035,1701.03378123422,769.230769230769
"Congee (rice porridge)","Starchy staples","Refined grains","2343902",33,7.16,0.1,0.02,0.02,0.04,0.02,0,0,0,0.01,0.04,0,0.38,0.02,25,0,0.5,0.3,0.13,6,9,4,253,0,0,0,0.02,0.08,0.14,0.26,0.09,0.06,0.07,0.17,0.04,0.1,0.12,0.17,1.13,35.8333333333333,20,0.1,0.44,"Q1","","Congee (rice porridge)","Indonesia",0,0,15.8239439034456,4.23773688460545,10.5157644680892,8.49202290049619,1.40192569728413,5.18169503858688,2.41886975503274,1.24794630334602,1.91278022244551,34.0623218661224,4.60797002724796,19.3076621803978,29.3067774695383,2.62251655629139,1.21854304635762,1.9205298013245,0,-74.1648810195105,-100,1,0,11.0833627994236,1,23100,30000,3030.30303030303
"White rice noodles","Starchy staples","Refined grains","168914",108,24.01,1,0.03,0.02,0.05,0.02,0,0,0,0.03,0.02,0,0.07,0.01,1,0,1.6,0.14,0.25,4,4,3,19,0,0,0,0.02,0.05,0.07,0.15,0.06,0.04,0.03,0.1,0.02,0.09,0.06,0.1,0.78,35.8333333333333,45.7,0.1,0.44,"Q1","Used phytate value for cooked white rice, as value for cooked rice noodles was unavailable","Rice (white) noodles, cooked","Indonesia",0,0,1,1,1,1.46684144861076,1,1,1.43354353626,1.24794630334602,1.37319681692711,7.55199068240676,3.42779291553133,5.45769073995677,21.7443361881859,5.95768947755703,3.18543046357616,4.57155997056659,0,-24.7876395624225,0,85.9100393700787,0,1,26.5688650490769,869.438719242642,1129.14119382161,925.925925925926
"Refined wheat pasta","Starchy staples","Refined grains","168928",158,30.86,1.8,0.13,0.33,0.46,0.18,0,0,0,0.06,0.02,0.02,0.4,0.05,7,0,6.4,0.5,0.51,7,44,18,1,0,0,0,0.02,0.13,0.23,0.44,0.13,0.07,0.11,0.3,0.08,0.11,0.21,0.26,2.07,11.0833333333333,164.74,0.1,0.26,"Q1","Used phytate value for cooked wheat-based noodles, as value for cooked pasta was unavailable","Pasta (white), cooked, unenriched, without added salt","Indonesia",0,0,2.64740534821488,3.61069708818186,3.24337371151827,3.81860466031336,5.89147218273543,5.0781694546611,1.29634621465874,1.24794630334602,1.29806495033594,13.3200968119572,7.77758855585831,10.5183652878886,10.9934571527297,7.09984072428535,4.93377483443709,6.01680777936122,0,-17.6642482112201,0,89.9591664939909,-5.38461538461539,1.08695522258356,27.4371097020361,841.925416010046,1093.40963118188,632.911392405063
"Brown rice","Starchy staples","Whole grains","N/A",118,24.55,1.7,0.33,0.33,0.67,0.21,0,0,0,0.17,0.14,0.04,1.95,0.14,6.5,0,9.2,0.55,0.67,6.5,82.5,41.5,2.5,0,0,0,0.01,0.06,0.1,0.2,0.09,0.06,0.03,0.13,0.03,0.09,0.09,0.14,1.03,35.8333333333333,612.16,0.1,0.26,"Q2","","Brown rice, cooked, unenriched, average of long- and medium-grain","Indonesia",0,0,12.2207517684957,11.8669370200176,12.6368596379467,10.2789154550553,10.4405243403126,11.2767872355912,1.19840127930543,1.12397315167301,1.17653837886914,9.03015266192013,4.27077656675749,6.61865898047658,22.3782547624011,8.71382871253788,4.71523178807947,6.71453025030868,0,-14.8594590650064,0,91.5534840386631,0,13.3286751798891,36.2163108448096,637.83415431201,828.356044561052,847.457627118644
"Unsalted brown rice cakes","Starchy staples","Whole grains","170250",387,81.5,4.2,1.03,0.99,2.02,0.57,0,0,0,1.24,0.06,0.17,7.81,0.15,21,0,31.6,1.49,3,11,290,131,26,0,0,0,0.02,0.21,0.35,0.68,0.31,0.18,0.1,0.42,0.1,0.31,0.3,0.48,3.43,35.8333333333333,612.16,0.1,0.26,"Q2","Phytate value for brown rice cake missing; used phytate value for brown rice as a proxy","Snacks, rice cakes, brown rice, plain, unsalted","Indonesia",0,0,8.86554233354325,25.9913365073787,18.3105883043621,10.5608484327363,37.3852311306245,26.6062421833279,1.12098889384,1.24794630334602,1.20203594131616,9.16185517550177,12.3634196185286,10.7322328441692,24.6243720872243,6.81087324811335,10.1788079470199,8.49484059756661,0,-20.0094518466008,0,88.6260897075366,-49.4230769230769,25.6985572765772,36.6304109240936,630.623556144876,818.991631356981,258.397932816537
"Whole wheat noodles","Starchy staples","Whole grains","2343836",148,29.91,3.9,0.18,0.57,0.75,0.24,0,0,0,0.23,0.15,0.1,3.11,0.09,20,0,6.5,1.71,1.33,13,95,54,210,0,0,0,0.02,0.13,0.2,0.41,0.17,0.1,0.07,0.25,0.06,0.17,0.17,0.27,1.73,35.8333333333333,164.74,0.1,0.26,"Q2","Used phytate value for cooked white wheat-based noodles, as value for cooked whole wheat-based noodles was unavailable","Noodles, whole wheat, cooked","Indonesia",0,0,12.834286415292,15.6393804099578,14.9476043825558,14.547798753727,18.557928064839,18.25065659699,1.31636960754108,1.24794630334602,1.30903014167627,11.9346660448068,6.63113079019074,9.25198969464273,23.8161211858736,15.1093162699123,9.52317880794702,12.3162475389297,0,-7.8331930841235,-7.75607421490636,91.1386414208783,-3.46153846153846,18.9571674635189,39.6941071269022,581.950361703545,755.779690524084,675.675675675676
"Whole wheat pasta","Starchy staples","Whole grains","168910",149,30.07,3.9,0.18,0.57,0.75,0.24,0,0,0,0.23,0.16,0.1,3.13,0.09,21,0,6.5,1.72,1.34,13,96,54,4,0,0,0,0.04,0.14,0.23,0.41,0.13,0.1,0.13,0.3,0.08,0.16,0.16,0.26,2.09,35.8333333333333,164.74,0.1,0.26,"Q2","Used phytate value for cooked wheat-based noodles, as value for cooked pasta was unavailable","Pasta, whole-wheat, cooked (Includes foods for USDA's Food Distribution Program)","Indonesia",0,0,13.0561481722401,16.014350227134,15.2620440381522,14.5072050046727,18.6400646720021,18.2740465333614,1.62849264316887,1.49589260669205,1.61573477968574,14.2282109485184,7.8450272479564,11.0063078952044,24.774024127234,15.0146228721277,9.52317880794702,12.2689008400373,0,-7.8757594422419,0,95.5232066291562,-3.65384615384615,19.4969469483534,41.6432550516327,554.711680711768,720.404780145153,671.140939597315
"Corn","Starchy staples","Whole grains","N/A",97,21.35,2.55,0.37,0.6,0.98,0.2,6.5,5.85,0,0.09,0.09,0.06,1.67,0.13,21.5,0,29.1,0.5,0.58,2.5,235,28.5,2,0,0,0,0.02,0.09,0.13,0.36,0.14,0.07,0.03,0.16,0.02,0.13,0.13,0.19,1.45,23,196,0.1,0.26,"Q2","","Corn, boiled, average of sweet white and yellow varieties","Indonesia",0,0,18.5717017934317,14.7532870003101,17.5035147517379,12.9388158824715,10.5361053875502,12.8282100143464,1.48270826717609,1.24794630334602,1.40012036004782,15.1324281895877,5.68698910081744,10.3791838440595,17.4242675571206,15.075749300198,6.5728476821192,10.8242984911586,-0.435400410029303,-8.56292443671954,0,94.8851102781832,0,15.3545052538761,39.0821804048269,591.062212003581,767.613262342313,1030.92783505155
"Sweet potato","Starchy staples","White roots, tubers, and plantains","N/A",110,19.06,2.93,1.22,1.29,2.51,0.46,872.67,16.73,0,1.25,0.09,0.08,1.12,0.24,5.67,0,11.93,0.68,0.27,33.33,378.33,23,78.67,0,0,0,0,0.03,0.06,0.1,0.07,0.03,0.02,0.1,0.03,0.04,0.09,0.09,0.67,99.0833333333333,10.33,0.1,0.44,"Q3","","Sweet potato, cooked, average of boiled, baked and fried","Indonesia",0,0,32.1575359087846,30.7951657312097,33.1128226827935,14.9924056832969,13.2742728819223,15.5261201568816,1,1,1,6.442025414154,3.05688010899183,4.7169994235019,55.8760294187527,15.2619205298013,7.40331125827815,11.3326158940397,-0.308942329408671,-6.62536359265921,0,96.0583541167073,0,37.6403774325086,53.4232507341311,432.396001414452,561.553248590198,909.090909090909
"Potato","Starchy staples","White roots, tubers, and plantains","N/A",107,20.7,1.86,0.75,0.8,1.55,0.28,0.43,11,0,0.34,0.08,0.03,1.38,0.3,18.29,0,14.19,0.7,0.32,9.86,451.57,25.57,92.43,0,0,0,0.04,0.04,0.08,0.12,0.12,0.03,0.03,0.09,0.03,0.07,0.07,0.11,0.79,99.0833333333333,47.61,0.1,0.44,"Q3","","Potato, cooked, average of skin eaten and not eaten and of boiled, baked, fried, and roasted","Indonesia",0,0,19.0427992706391,16.6910673351271,18.7726277518301,16.2571165748393,13.8596754465496,16.5677922514268,1.8751906900202,1.49589260669205,1.75083132915194,7.70990880510127,3.46151226158038,5.55354212125679,56.3328032870831,10.3074828247818,5.06490066225166,7.68619174351674,-0.293013965322434,-11.4229273456855,0,93.340344029174,0,30.5254999388969,47.8173269345103,483.088484465836,627.387642163424,934.579439252336
"Cassava","Starchy staples","White roots, tubers, and plantains","2345064",191,39.62,1.9,1.02,0.86,1.88,0.8,13,18.2,0,0.56,0.08,0.05,0.85,0.1,24,0,24.9,0.28,0.36,17,282,22,145,0,0,0,0.04,0.03,0.05,0.08,0.07,0.02,0.02,0.07,0.02,0.04,0.06,0.08,0.56,1,60,0.1,0.35,"Q3","","Cassava, cooked","Indonesia",0,0,10.6272758913419,16.7743429556292,14.3827978078244,5.65820689666707,9.75152573327182,8.28725501745069,1.49029007241969,1.49589260669205,1.54005241951357,3.34266325219895,2.68596730245232,2.98127075101467,1.37224950665056,6.32627162719739,5.1523178807947,5.73929475399605,-1.78080424149931,-21.5116962361921,0,86.7599166158352,-11.7307692307692,6.03614554910881,28.2168223397306,818.660574953336,1063.19555188745,523.560209424084
"Taro","Starchy staples","White roots, tubers, and plantains","168486",142,34.6,5.1,0.01,0.05,0.06,0.02,4,5,0,2.93,0.11,0.03,0.51,0.33,19,0,21.3,0.72,0.27,18,484,30,15,0,0,0,0.04,0.01,0.02,0.04,0.02,0.01,0.01,0.03,0.01,0.02,0.02,0.03,0.22,49.5833333333333,18,0.1,0.44,"Q3","","Taro, cooked, without salt","Indonesia",0,0,17.4147356563266,20.2923912783387,19.8122364540528,13.0355551870081,15.3243094642491,15.5785868556681,1.65947467487437,1.49589260669205,1.63270113038161,1.98611227803315,1.53950953678474,1.72933997415764,27.2164148998183,20.2302490439325,12.1456953642384,16.1879722040854,0,-6.91504299926805,0,96.0693036798225,-2.30769230769231,21.3031236017164,43.6074806623822,529.72562617971,687.955358674948,704.225352112676
