Food,Food_group,DQQ_food_group,USDA_FDC_ID,Energy_kcal,Carbohydrates,Fiber,Monounsaturated_FAs_g,Polyunsaturated_FAs_g,Unsaturated_FAs_g,Saturated_FAs_g,VitA_RAE_mcg,VitC_mg,VitD_mcg,VitE_mg,Thiamin_mg,Riboflavin_mg,Niacin_mg,VitB6_mg,Folate_DFE_mcg,VitB12_mcg,Choline_mg,Iron_mg,Zinc_mg,Calcium_mg,Potassium_mg,Magnesium_mg,Sodium,DHA_g,EPA_g,DPA_g,ALA_g,His_g,Ile_g,Leu_g,Lys_g,Met_g_SAA,Cys_g_SAA,Phe_g_AAA,Trp_g_AAA,Tyr_g_AAA,Thr_g,Val_g,EAA_quantity,DIAAS,Phytate_mg,Iron_Abs,Zinc_Abs,DQQ_question,Comments,Food_long,Country,Liquids,Dried_Foods
Cantaloupe,Fruits,Vitamin A-rich fruits,169092,34,8.16,0.9,0,0.08,0.08,0.05,169,36.7,0,0.05,0.04,0.02,0.73,0.07,21,0,7.6,0.21,0.18,9,267,12,16,0,0,0,0.11,0.02,0.02,0.03,0.03,0.01,0,0.02,0,0.01,0.02,0.03,0.2,0.7,20,0.1,0.44,Q8,,"Melons, cantaloupe, raw",Indonesia,0,0
Mango,Fruits,Vitamin A-rich fruits,169910,60,14.98,1.6,0.14,0.07,0.21,0.09,54,36.4,0,0.9,0.03,0.04,0.67,0.12,43,0,7.6,0.16,0.09,11,168,10,1,0,0,0,0.11,0.02,0.03,0.05,0.07,0.01,0,0.03,0.01,0.02,0.03,0.04,0.3,0.7,25,0.1,0.44,Q8,,"Mangos, raw",Indonesia,0,0
Papaya,Fruits,Vitamin A-rich fruits,169926,43,10.82,1.7,0.07,0.06,0.13,0.08,47,60.9,0,0.3,0.02,0.03,0.36,0.04,37,0,6.1,0.25,0.08,20,182,21,8,0,0,0,0.11,0.01,0.01,0.02,0.03,0,0,0.01,0.01,0.01,0.01,0.01,0.1,0.7,22.8,0.1,0.44,Q8,,"Papayas, raw",Indonesia,0,0
Tangerine,Fruits,Citrus,169105,53,13.3,1.8,0.06,0.07,0.13,0.04,34,26.7,0,0.2,0.06,0.04,0.38,0.08,16,0,10.2,0.15,0.07,37,166,12,2,0,0,0,0.11,0.01,0.02,0.03,0.03,0,0,0.02,0,0.02,0.02,0.02,0.16,0.7,10,0.1,0.44,Q9,"Phytate value for mandarin missing, used orange as a proxy","Tangerines, (mandarin oranges), raw",Indonesia,0,0
Orange,Fruits,Citrus,169097,47,11.8,2.4,0.02,0.03,0.05,0.02,11,53.2,0,0.18,0.09,0.04,0.28,0.06,30,0,8.4,0.1,0.07,40,181,10,0,0,0,0,0.11,0.02,0.03,0.02,0.05,0.02,0.01,0.03,0.01,0.02,0.02,0.04,0.25,0.7,10,0.1,0.44,Q9,,"Oranges, raw, all commercial varieties",Indonesia,0,0
Grapefruit,Fruits,Citrus,173033,32,8.08,1.1,0.01,0.02,0.04,0.01,46,34.4,0,0.13,0.04,0.02,0.25,0.04,10,0,7.7,0.09,0.07,12,139,8,0,0,0,0,0.11,0.01,0.01,0.01,0.02,0.01,0.01,0.04,0.01,0.01,0.01,0.01,0.13,0.7,20.36,0.1,0.44,Q9,Phytate value for grapefruit missing; used phytate value for pomelo as a proxy,"Grapefruit, raw, pink and red and white, all areas",Indonesia,0,0
Banana,Fruits,Other fruits,173944,89,22.8,2.6,0.03,0.07,0.11,0.11,3,8.7,0,0.1,0.03,0.07,0.67,0.37,20,0,9.8,0.26,0.15,5,358,27,1,0,0,0,0.05,0.08,0.03,0.07,0.05,0.01,0.01,0.05,0.01,0.01,0.03,0.05,0.38,0.7,22,0.1,0.44,Q10.1,,"Bananas, raw",Indonesia,0,0
Guava,Fruits,Other fruits,173044,68,14.3,5.4,0.09,0.4,0.49,0.27,31,228.3,0,0.73,0.07,0.04,1.08,0.11,49,0,7.6,0.26,0.23,18,417,22,2,0,0,0,0.05,0.02,0.09,0.17,0.07,0.02,0.01,0.01,0.02,0.03,0.1,0.09,0.63,0.7,50.63,0.1,0.44,Q10.1,For phytate: used an average of pink and white flesh guava,"Guavas, common, raw",Indonesia,0,0
Watermelon,Fruits,Other fruits,167765,127,7.55,0.4,0.04,0.05,0.09,0.02,28,8.1,0,0.05,0.03,0.02,0.18,0.05,3,0,4.1,0.24,0.1,7,112,10,1,0,0,0,0.05,0.01,0.02,0.02,0.06,0.01,0,0.02,0.01,0.01,0.03,0.02,0.19,0.7,3.9,0.1,0.44,Q10.1,,"Watermelon, raw",Indonesia,0,0
Dragon fruit,Fruits,Other fruits,2344729,57,15.23,3.1,0.08,0.09,0.18,0.02,1,4.3,0,0.12,0.01,0.03,0.16,0.03,7,0,5.1,0.18,0.1,9,116,7,1,0,0,0,0.05,0.03,0.04,0.08,0.06,0.01,0.01,0.03,0.01,0.02,0.05,0.05,0.38,0.7,20.55,0.1,0.44,Q10.1,,Dragon fruit,Indonesia,0,0
Longans,Fruits,Other fruits,169089,60,15.1,1.1,0.06,0.15,0.21,0.11,15.75,84,0,0.25,0.03,0.14,0.3,0.14,19.75,0,6.65,0.13,0.05,1,266,10,0,0,0,0,0.05,0.01,0.03,0.05,0.05,0.01,0.01,0.03,0.01,0.03,0.03,0.06,0.32,0.7,5.65,0.1,0.44,Q10.1,"Phytate value for longan missing, used rambutan as a proxy (they belong to the same family)","Longans, raw",Indonesia,0,0
Apple,Fruits,Other fruits,171688,52,13.8,2.4,0.01,0.05,0.06,0.03,3,4.6,0,0.18,0.02,0.03,0.09,0.04,3,0,3.4,0.12,0.04,6,107,5,1,0,0,0,0.2,0.01,0.01,0.01,0.01,0,0,0.01,0,0,0.01,0.01,0.06,0.7,0.51,0.1,0.44,Q10.2,For phytate: used an average of big and small apple,"Apples, raw, with skin ",Indonesia,0,0
Avocado,Fruits,Other fruits, 171705,160,8.53,6.7,9.8,1.82,11.62,2.13,7,10,0,2.07,0.07,0.13,1.74,0.26,81,0,14.2,0.55,0.64,12,485,29,7,0,0,0,0.11,0.05,0.08,0.14,0.13,0.04,0.03,0.1,0.03,0.05,0.07,0.11,0.82,0.7,11,0.1,0.44,Q10.2,,"Avocados, raw, all commercial varieties",Indonesia,0,0
Pear,Fruits,Other fruits,169118,57,15.23,3.1,0.08,0.09,0.18,0.02,1,4.3,0,0.12,0.01,0.03,0.16,0.03,7,0,5.1,0.18,0.1,9,116,7,1,0,0,0,0.2,0,0.01,0.02,0.02,0,0,0.01,0,0,0.01,0.02,0.1,0.7,4.83,0.1,0.44,Q10.2,,"Pears, raw",Indonesia,0,0
Durian,Fruits,Other fruits,168192,147,27.1,3.8,0.05,0.07,0.12,0.03,2,19.7,0,0.15,0.37,0.2,1.07,0.32,36,0,4.25,0.43,0.28,6,436,30,2,0,0,0,0.2,0,0.01,0.02,0.01,0,0,0.01,0,0,0.01,0.01,0.08,0.7,2.67,0.1,0.44,Q10.2,Phytate value for durian missing,"Durian, raw or frozen",Indonesia,0,0
Snake fruit,Fruits,Other fruits,IDE092 (from ID FCT),87,20.9,0.4,0.05,0.07,0.12,0.03,4,2,0,0.15,0.04,0.2,2.4,1,3,0,4.25,4.2,0,28,219.67,14,1.33,0,0,0,0.2,0,0.01,0.02,0.01,0,0,0.01,0,0,0.01,0.01,0.08,0.7,2.67,0.1,0.44,Q10.2,Phytate value for snake fruit missing,Snake fruit,Indonesia,0,0
Pineapple,Fruits,Other fruits,169124,50,13.1,1.4,0.01,0.04,0.05,0.01,3,47.8,0,0.02,0.08,0.03,0.5,0.11,18,0,5.5,0.29,0.12,13,109,12,1,0,0,0,0.11,0.01,0.02,0.02,0.03,0.01,0.01,0.02,0.01,0.02,0.02,0.02,0.19,0.7,8.59,0.1,0.44,Q10.3,,"Pineapple, raw, all varieties",Indonesia,0,0
